Player,Matches Played,Wickets
Dane Vilas,5,0
Shahnawaz Dahani,22,37
James Faulkner,12,19
Imran Khan Snr,10,12
Mohammad Wasim Jnr,19,20
Rashid Khan,17,24
Blessing Muzarabani,10,15
Mohammad Imran,14,10
Khurram Shahzad,7,12
Ahmed Daniyal,10,6
Arish Ali Khan,2,4
Mohammad Abbas Afridi,9,7
Noor Ahmad,8,6
Qais Ahmad,2,3
Fabian Allen,3,3
Mohammad Salman Mirza,3,2
Muhammad Umar,8,7
Mujeeb ur Rehman,4,2
Zahir Khan,4,3
Qasim Akram,6,1
Zahoor Khan,1,0
Waqar Salamkheil,1,0
Sohaibullah,1,0
Jack Wildermuth,2,0
Rovman Powell,8,0
Hazratullah Zazai,12,0
Joe Clarke,13,0
Usman Khawaja,7,0
David Miller,3,0
Brandon King,3,0
Muhammad Akhlaq,7,0
Jake Weatherald,5,0
Shimron Hetmyer,2,0
Rahmanullah Gurbaz,7,0
Tim David,17,1
Martin Guptill,6,0
Saim Ayub,7,0
Jonathan Wells,2,0
Najibullah Zadran,5,0
Usman Khan,6,0
Paul Stirling,8,0
Zaman Khan,13,18
David Willey,8,13
Asif Afridi,5,8
Marchant de Lange,5,2
Syed Zeeshan Zameer,2,1
Jordan Thompson,2,1
Ihsanullah,2,1
Benny Howell,1,1
Luke Wood,1,1
Mubasir Khan,7,1
Ashir Qureshi,4,1
Aamer Azmat,5,0
Ali Majid,1,0
Athar Mehmood,3,0
Mohammad Taha,5,0
Pat Brown,2,0
Dean Foxcroft,1,0
Ian Cockbain,3,0
Mohammad Haris,5,0
Yasir Khan,4,0
Abdullah Shafique,11,0
Mohammad Huraira,1,0
Abdul Wahid Bangalzai,1,0
Tom Lammonby,3,0
Will Jacks,2,0
Harry Brook,10,0
Will Smeed,6,0
