Player Name,ID,2017,2018,2019,2020,2021,2022,2016
CJ Anderson,8abdf100,NA,NA,Lahore Qalandars,NA,NA,NA,NA
CJ Green,19b9f399,NA,NA,Multan Sultans,NA,NA,NA,NA
CJ Jordan,ffe699c0,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Karachi Kings,NA,Karachi Kings,NA
CR Brathwaite,e342e5fb,NA,NA,Lahore Qalandars,Peshawar Zalmi,Multan Sultans,NA,NA
CS Delport,afa78c3a,Lahore Qalandars,Lahore Qalandars,Islamabad United,Karachi Kings,Quetta Gladiators,NA,Lahore Qalandars
D Foxcroft,ed6894af,NA,NA,NA,NA,NA,Lahore Qalandars,NA
D Ramdin,d1523761,NA,Lahore Qalandars,NA,NA,NA,NA,NA
D Wiese,aa8d28ae,NA,Karachi Kings,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
DA Miller,d67d5f00,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
Danish Aziz,a4799701,NA,Karachi Kings,Quetta Gladiators,NA,Karachi Kings,Islamabad United,NA
DAS Gunaratne,770494eb,NA,NA,Lahore Qalandars,NA,NA,NA,NA
Dilbar Hussain,a968d8eb,NA,NA,NA,Lahore Qalandars,NA,NA,NA
DJ Bravo,87e562a9,NA,NA,Quetta Gladiators,NA,NA,NA,Lahore Qalandars
DJ Malan,ad9c32a2,Peshawar Zalmi,NA,Peshawar Zalmi,Islamabad United,NA,NA,Peshawar Zalmi
DJ Vilas,087210b1,NA,NA,NA,Lahore Qalandars,NA,NA,NA
DJ Willey,7f048519,NA,NA,NA,NA,NA,Multan Sultans,NA
DJG Sammy,c03c6200,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,NA,NA,Peshawar Zalmi
DM Bravo,14b14cd8,NA,Multan Sultans,NA,NA,NA,NA,NA
DPMD Jayawardene,d18f9182,Karachi Kings,NA,NA,NA,NA,NA,NA
DR Smith,35205dfc,Islamabad United,Peshawar Zalmi,Quetta Gladiators,NA,NA,NA,Islamabad United
DT Christian,2a2e6343,NA,NA,Multan Sultans,NA,Karachi Kings,NA,NA
DW Steyn,8fd1a8f5,NA,NA,NA,Islamabad United,Quetta Gladiators,NA,NA
E Chigumbura,d2babdd5,NA,NA,NA,NA,NA,NA,Quetta Gladiators
Ehsan Adil,210b05cb,NA,NA,NA,NA,NA,NA,Lahore Qalandars
EJG Morgan,d2a6c0e6,Peshawar Zalmi,Karachi Kings,NA,NA,NA,NA,NA
F du Plessis,3355b542,NA,NA,NA,Peshawar Zalmi,Quetta Gladiators,NA,NA
FA Allen,b52ffbbd,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
Faheem Ashraf,bd4ea627,NA,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,NA
Faizan Khan,9e44e6fd,NA,NA,NA,Lahore Qalandars,NA,NA,NA
Fakhar Zaman,1777c020,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
Fawad Ahmed,22ae3041,NA,NA,Quetta Gladiators,Quetta Gladiators,Islamabad United,Lahore Qalandars,NA
Gauhar Ali,86b6e495,NA,NA,Lahore Qalandars,NA,NA,NA,NA
GC Viljoen,a316d663,NA,Multan Sultans,Lahore Qalandars,Peshawar Zalmi,NA,NA,NA
GD Elliott,c03449e0,Lahore Qalandars,NA,NA,NA,NA,NA,Quetta Gladiators
Ghulam Mudassar,667f678b,Lahore Qalandars,NA,Quetta Gladiators,NA,NA,Quetta Gladiators,NA
Gulraiz Sadaf,ebd1ab1f,NA,Lahore Qalandars,NA,NA,NA,NA,NA
Haider Ali,c13e34f4,NA,NA,NA,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,NA
Hammad Azam,57bd3ecc,NA,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,Multan Sultans,NA,Lahore Qalandars
Haris Rauf,24bb1c2f,NA,NA,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
Haris Sohail,7cd0a092,Peshawar Zalmi,Peshawar Zalmi,Lahore Qalandars,NA,NA,NA,NA
