Player Name,ID,2017,2018,2019,2020,2021,2022,2016
Sohaib Maqsood,b98b5e1c,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,Multan Sultans,Multan Sultans,Lahore Qalandars
Sohaibullah,6a633d13,NA,NA,NA,NA,Multan Sultans,NA,NA
Sohail Akhtar,1ff2f550,NA,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
Sohail Khan,5af743d0,Karachi Kings,Lahore Qalandars,Karachi Kings,Quetta Gladiators,Multan Sultans,Peshawar Zalmi,Karachi Kings
Sohail Tanvir,64d43928,Lahore Qalandars,Multan Sultans,Quetta Gladiators,Multan Sultans,Multan Sultans,Quetta Gladiators,Karachi Kings
SP Narine,9d430b40,Lahore Qalandars,Lahore Qalandars,NA,NA,NA,NA,NA
SR Patel,18fac429,NA,Islamabad United,Islamabad United,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
SR Watson,4329fbb5,Islamabad United,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,NA,NA,Islamabad United
ST Finn,ccdd8308,NA,Islamabad United,NA,NA,NA,NA,NA
SW Billings,c16d4035,Islamabad United,NA,NA,NA,NA,NA,Islamabad United
SW Tait,addfb70e,NA,NA,NA,NA,NA,NA,Peshawar Zalmi
T Banton,25f7b7d6,NA,NA,NA,Peshawar Zalmi,Quetta Gladiators,NA,NA
T Kohler-Cadmore,f836b33d,NA,Quetta Gladiators,NA,NA,Peshawar Zalmi,Peshawar Zalmi,NA
TA Lammonby,73f1f6b0,NA,NA,NA,NA,NA,Karachi Kings,NA
Tamim Iqbal,3b041a12,Peshawar Zalmi,Peshawar Zalmi,NA,Lahore Qalandars,NA,NA,Peshawar Zalmi
TH David,f1f99156,NA,NA,NA,NA,Lahore Qalandars,Multan Sultans,NA
TJ Moores,85dcb721,NA,NA,Multan Sultans,NA,NA,NA,NA
TS Mills,245c97cb,Quetta Gladiators,Karachi Kings,Peshawar Zalmi,Quetta Gladiators,NA,NA,NA
Umaid Asif,f69f1d8a,NA,Peshawar Zalmi,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,Karachi Kings,NA
Umair Masood,aa8b4568,NA,NA,Lahore Qalandars,NA,NA,NA,NA
Umar Akmal,fd2bf2a0,Lahore Qalandars,Lahore Qalandars,Quetta Gladiators,NA,NA,Quetta Gladiators,Lahore Qalandars
Umar Amin,3029e282,NA,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,Islamabad United,NA,Islamabad United
Umar Gul,16dfcc19,Quetta Gladiators,Multan Sultans,NA,NA,NA,NA,Quetta Gladiators
Umar Siddiq,8efab8ed,NA,NA,Multan Sultans,NA,NA,NA,NA
Umer Khan,db3643f3,NA,NA,Karachi Kings,Karachi Kings,NA,NA,NA
Usama Mir,6dd8b88c,Karachi Kings,Karachi Kings,NA,Karachi Kings,NA,NA,Karachi Kings
Usman Khan,bafb9238,NA,NA,NA,NA,Quetta Gladiators,NA,NA
Usman Qadir,33742f04,NA,NA,NA,Multan Sultans,Multan Sultans,Peshawar Zalmi,NA
Usman Shinwari,f0e722e0,Karachi Kings,Karachi Kings,Karachi Kings,Lahore Qalandars,Quetta Gladiators,Karachi Kings,NA
UT Khawaja,331ea488,NA,NA,NA,NA,Islamabad United,NA,NA
Wahab Riaz,b3118300,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi
Waqar Salamkheil,3f1066d0,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
Waqas Maqsood,f59b3bd1,NA,NA,Islamabad United,Karachi Kings,Karachi Kings,Islamabad United,NA
WCF Smeed,4e18e961,NA,NA,NA,NA,NA,Quetta Gladiators,NA
WD Parnell,3a60e0b5,NA,NA,Islamabad United,Karachi Kings,NA,NA,NA
WG Jacks,9caf69a1,NA,NA,NA,NA,NA,Islamabad United,NA
WL Madsen,86e0f3f0,NA,NA,Peshawar Zalmi,NA,NA,NA,NA
Yasir Khan,4f1bb625,NA,NA,NA,NA,NA,Peshawar Zalmi,NA
Yasir Shah,f2800ef3,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Peshawar Zalmi,NA,NA,NA
Zafar Gohar,9fd3a210,NA,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Lahore Qalandars
Zahid Mahmood,ba158afd,NA,NA,NA,Quetta Gladiators,Quetta Gladiators,Islamabad United,NA
Zahir Khan,786b7fe8,NA,NA,NA,NA,Quetta Gladiators,Islamabad United,NA
Zahoor Khan,f0e293b0,NA,NA,NA,NA,Quetta Gladiators,NA,NA
Zaman Khan,28392e11,NA,NA,NA,NA,NA,Lahore Qalandars,NA
Zeeshan Ashraf,4b345629,NA,NA,NA,Multan Sultans,Lahore Qalandars,Lahore Qalandars,NA
Zeeshan Zameer,aad2830e,NA,NA,NA,NA,NA,Islamabad United,NA
Zia-ul-Haq,99c81226,NA,NA,NA,NA,NA,NA,Lahore Qalandars
Zohaib Khan,a3a1c7ef,Islamabad United,NA,NA,NA,NA,NA,Lahore Qalandars
Zulfiqar Babar,3a0f6df2,Quetta Gladiators,NA,NA,NA,NA,NA,Quetta Gladiators
