Player1,Player2,Matches
Akif Javed,Mohammad Hasnain,0.16666666666666666
Mohammad Hasnain,Akif Javed,0.1111111111111111
Amad Butt,Sohail Khan,0.2
Sohail Khan,Amad Butt,0.125
Asif Ali,BCJ Cutting,0.1111111111111111
BCJ Cutting,Asif Ali,0.14285714285714285
Asif Ali,Fawad Ahmed,0.1111111111111111
Fawad Ahmed,Asif Ali,0.2
Asif Ali,Mohammad Hasnain,0.1111111111111111
Mohammad Hasnain,Asif Ali,0.1111111111111111
C Munro,Mohammad Nawaz,0.125
Mohammad Nawaz,C Munro,0.1111111111111111
CA Ingram,BCJ Cutting,0.2222222222222222
BCJ Cutting,CA Ingram,0.42857142857142855
CA Ingram,Mohammad Hasnain,0.2222222222222222
Mohammad Hasnain,CA Ingram,0.3333333333333333
DJ Malan,Abdul Nasir,0.25
Abdul Nasir,DJ Malan,1.0
DJ Malan,BCJ Cutting,0.25
BCJ Cutting,DJ Malan,0.14285714285714285
DJ Malan,Fawad Ahmed,0.25
Fawad Ahmed,DJ Malan,0.2
DJ Malan,Mohammad Hasnain,0.25
Mohammad Hasnain,DJ Malan,0.1111111111111111
DJ Malan,Mohammad Nawaz,0.25
Mohammad Nawaz,DJ Malan,0.1111111111111111
DJ Malan,Sohail Khan,0.5
Sohail Khan,DJ Malan,0.375
Faheem Ashraf,BCJ Cutting,0.14285714285714285
BCJ Cutting,Faheem Ashraf,0.14285714285714285
Faheem Ashraf,Mohammad Hasnain,0.14285714285714285
Mohammad Hasnain,Faheem Ashraf,0.1111111111111111
Hussain Talat,Abdul Nasir,0.2
Abdul Nasir,Hussain Talat,1.0
Hussain Talat,BCJ Cutting,0.2
BCJ Cutting,Hussain Talat,0.14285714285714285
Hussain Talat,Fawad Ahmed,0.2
Fawad Ahmed,Hussain Talat,0.2
Hussain Talat,Mohammad Hasnain,0.2
Mohammad Hasnain,Hussain Talat,0.1111111111111111
Hussain Talat,Sohail Khan,0.2
Sohail Khan,Hussain Talat,0.125
L Ronchi,Mohammad Nawaz,0.125
Mohammad Nawaz,L Ronchi,0.1111111111111111
L Ronchi,Sohail Khan,0.25
Sohail Khan,L Ronchi,0.375
Muhammad Musa,Mohammad Hasnain,0.14285714285714285
Mohammad Hasnain,Muhammad Musa,0.1111111111111111
Shadab Khan,BCJ Cutting,0.2222222222222222
BCJ Cutting,Shadab Khan,0.42857142857142855
Shadab Khan,Fawad Ahmed,0.1111111111111111
Fawad Ahmed,Shadab Khan,0.2
Shadab Khan,Mohammad Hasnain,0.2222222222222222
Mohammad Hasnain,Shadab Khan,0.3333333333333333
Babar Azam,Hasan Ali,0.08333333333333333
Hasan Ali,Babar Azam,0.1111111111111111
Babar Azam,LA Dawson,0.08333333333333333
LA Dawson,Babar Azam,0.25
Babar Azam,Mohammad Mohsin,0.08333333333333333
Mohammad Mohsin,Babar Azam,0.5
Babar Azam,Rahat Ali,0.08333333333333333
Rahat Ali,Babar Azam,0.1
Babar Azam,Shoaib Malik,0.08333333333333333
Shoaib Malik,Babar Azam,0.1111111111111111
Babar Azam,Wahab Riaz,0.08333333333333333
Wahab Riaz,Babar Azam,0.1
CAK Walton,Hasan Ali,0.08333333333333333
Hasan Ali,CAK Walton,0.1111111111111111
CAK Walton,Wahab Riaz,0.08333333333333333
Wahab Riaz,CAK Walton,0.1
CS Delport,LA Dawson,0.125
LA Dawson,CS Delport,0.25
CS Delport,Mohammad Mohsin,0.125
Mohammad Mohsin,CS Delport,0.5
CS Delport,Rahat Ali,0.125
Rahat Ali,CS Delport,0.1
CS Delport,Shoaib Malik,0.125
Shoaib Malik,CS Delport,0.1111111111111111
CS Delport,Wahab Riaz,0.125
Wahab Riaz,CS Delport,0.1
Iftikhar Ahmed,Hasan Ali,0.08333333333333333
Hasan Ali,Iftikhar Ahmed,0.1111111111111111
Imad Wasim,Hasan Ali,0.09090909090909091
Hasan Ali,Imad Wasim,0.1111111111111111
Imad Wasim,LA Dawson,0.09090909090909091
LA Dawson,Imad Wasim,0.25
Imad Wasim,Mohammad Mohsin,0.09090909090909091
Mohammad Mohsin,Imad Wasim,0.5
Imad Wasim,Rahat Ali,0.09090909090909091
Rahat Ali,Imad Wasim,0.1
Imad Wasim,Shoaib Malik,0.2727272727272727
Shoaib Malik,Imad Wasim,0.2222222222222222
Imad Wasim,Wahab Riaz,0.09090909090909091
Wahab Riaz,Imad Wasim,0.1
Sharjeel Khan,Hasan Ali,0.08333333333333333
Hasan Ali,Sharjeel Khan,0.1111111111111111
Sharjeel Khan,Rahat Ali,0.08333333333333333
Rahat Ali,Sharjeel Khan,0.1
BR Dunk,MM Ali,0.09090909090909091
MM Ali,BR Dunk,0.1111111111111111
BR Dunk,Shahid Afridi,0.18181818181818182
Shahid Afridi,BR Dunk,0.3333333333333333
CA Lynn,Imran Tahir,0.125
Imran Tahir,CA Lynn,0.1
CA Lynn,MM Ali,0.125
MM Ali,CA Lynn,0.1111111111111111
CA Lynn,Mohammad Irfan,0.125
Mohammad Irfan,CA Lynn,0.125
CA Lynn,Sohail Tanvir,0.125
Sohail Tanvir,CA Lynn,0.1
D Wiese,Imran Tahir,0.18181818181818182
Imran Tahir,D Wiese,0.3
D Wiese,Mohammad Ilyas,0.09090909090909091
Mohammad Ilyas,D Wiese,0.1111111111111111
D Wiese,Mohammad Irfan,0.09090909090909091
Mohammad Irfan,D Wiese,0.125
DJ Vilas,Imran Tahir,0.2
Imran Tahir,DJ Vilas,0.1
DJ Vilas,MM Ali,0.2
MM Ali,DJ Vilas,0.1111111111111111
DJ Vilas,Shahid Afridi,0.2
Shahid Afridi,DJ Vilas,0.1111111111111111
Fakhar Zaman,Imran Tahir,0.16666666666666666
Imran Tahir,Fakhar Zaman,0.3
Fakhar Zaman,MM Ali,0.08333333333333333
MM Ali,Fakhar Zaman,0.1111111111111111
Fakhar Zaman,Mohammad Irfan,0.08333333333333333
Mohammad Irfan,Fakhar Zaman,0.125
Fakhar Zaman,Sohail Tanvir,0.16666666666666666
Sohail Tanvir,Fakhar Zaman,0.3
Haris Rauf,Mohammad Ilyas,0.125
Mohammad Ilyas,Haris Rauf,0.1111111111111111
Haris Rauf,Sohail Tanvir,0.125
Sohail Tanvir,Haris Rauf,0.1
Mohammad Hafeez,Imran Tahir,0.15384615384615385
Imran Tahir,Mohammad Hafeez,0.3
Mohammad Hafeez,MM Ali,0.07692307692307693
MM Ali,Mohammad Hafeez,0.1111111111111111
Mohammad Hafeez,Shahid Afridi,0.15384615384615385
Shahid Afridi,Mohammad Hafeez,0.3333333333333333
Shaheen Shah Afridi,Mohammad Ilyas,0.08333333333333333
Mohammad Ilyas,Shaheen Shah Afridi,0.1111111111111111
Shaheen Shah Afridi,Mohammad Irfan,0.08333333333333333
Mohammad Irfan,Shaheen Shah Afridi,0.125
Shaheen Shah Afridi,Sohail Tanvir,0.08333333333333333
Sohail Tanvir,Shaheen Shah Afridi,0.1
Sohail Akhtar,Imran Tahir,0.07692307692307693
Imran Tahir,Sohail Akhtar,0.1
Sohail Akhtar,Mohammad Ilyas,0.15384615384615385
Mohammad Ilyas,Sohail Akhtar,0.3333333333333333
Sohail Akhtar,Mohammad Irfan,0.07692307692307693
Mohammad Irfan,Sohail Akhtar,0.125
Sohail Akhtar,Shahid Afridi,0.07692307692307693
Shahid Afridi,Sohail Akhtar,0.1111111111111111
Sohail Akhtar,Sohail Tanvir,0.07692307692307693
Sohail Tanvir,Sohail Akhtar,0.1
Usman Shinwari,Sohail Tanvir,0.25
Sohail Tanvir,Usman Shinwari,0.1
Ahmed Shehzad,Hasan Ali,0.14285714285714285
Hasan Ali,Ahmed Shehzad,0.1111111111111111
Ahmed Shehzad,LA Dawson,0.14285714285714285
LA Dawson,Ahmed Shehzad,0.25
Ahmed Shehzad,Mohammad Amir Khan,0.14285714285714285
Mohammad Amir Khan,Ahmed Shehzad,0.25
Ahmed Shehzad,Wahab Riaz,0.14285714285714285
Wahab Riaz,Ahmed Shehzad,0.1
Azam Khan,DJG Sammy,0.1111111111111111
DJG Sammy,Azam Khan,0.25
Azam Khan,Hasan Ali,0.1111111111111111
Hasan Ali,Azam Khan,0.1111111111111111
