Player1,Player2,Matches
Aamer Yamin,Imran Khan (2),0.2
Imran Khan (2),Aamer Yamin,0.3333333333333333
Babar Azam,DJ Willey,0.1
DJ Willey,Babar Azam,0.125
Babar Azam,Imran Khan (2),0.1
Imran Khan (2),Babar Azam,0.3333333333333333
Babar Azam,Imran Tahir,0.1
Imran Tahir,Babar Azam,0.08333333333333333
Babar Azam,Khushdil Shah,0.1
Khushdil Shah,Babar Azam,0.08333333333333333
Babar Azam,Shahnawaz Dhani,0.1
Shahnawaz Dhani,Babar Azam,0.09090909090909091
Babar Azam,TH David,0.1
TH David,Babar Azam,0.09090909090909091
JM Clarke,DJ Willey,0.125
DJ Willey,JM Clarke,0.125
JM Clarke,Ihsanullah,0.125
Ihsanullah,JM Clarke,0.5
JM Clarke,Imran Khan (2),0.125
Imran Khan (2),JM Clarke,0.3333333333333333
JM Clarke,Imran Tahir,0.25
Imran Tahir,JM Clarke,0.25
JM Clarke,Khushdil Shah,0.125
Khushdil Shah,JM Clarke,0.08333333333333333
JM Clarke,Shahnawaz Dhani,0.25
Shahnawaz Dhani,JM Clarke,0.2727272727272727
L Gregory,DJ Willey,0.14285714285714285
DJ Willey,L Gregory,0.125
L Gregory,Imran Khan (2),0.14285714285714285
Imran Khan (2),L Gregory,0.3333333333333333
L Gregory,Imran Tahir,0.14285714285714285
Imran Tahir,L Gregory,0.08333333333333333
L Gregory,Shahnawaz Dhani,0.14285714285714285
Shahnawaz Dhani,L Gregory,0.09090909090909091
Mohammad Nabi,DJ Willey,0.1111111111111111
DJ Willey,Mohammad Nabi,0.125
Mohammad Nabi,Ihsanullah,0.1111111111111111
Ihsanullah,Mohammad Nabi,0.5
Mohammad Nabi,Imran Khan (2),0.1111111111111111
Imran Khan (2),Mohammad Nabi,0.3333333333333333
Mohammad Nabi,Imran Tahir,0.1111111111111111
Imran Tahir,Mohammad Nabi,0.08333333333333333
Mohammad Nabi,Khushdil Shah,0.1111111111111111
Khushdil Shah,Mohammad Nabi,0.08333333333333333
Sharjeel Khan,DJ Willey,0.1
DJ Willey,Sharjeel Khan,0.125
Sharjeel Khan,Imran Khan (2),0.1
Imran Khan (2),Sharjeel Khan,0.3333333333333333
Sharjeel Khan,Imran Tahir,0.2
Imran Tahir,Sharjeel Khan,0.25
Sharjeel Khan,Shahnawaz Dhani,0.2
Shahnawaz Dhani,Sharjeel Khan,0.2727272727272727
Sharjeel Khan,TH David,0.1
TH David,Sharjeel Khan,0.09090909090909091
TA Lammonby,Imran Tahir,0.3333333333333333
Imran Tahir,TA Lammonby,0.08333333333333333
Ahsan Ali,BCJ Cutting,0.125
BCJ Cutting,Ahsan Ali,0.1111111111111111
Ahsan Ali,Hussain Talat,0.125
Hussain Talat,Ahsan Ali,0.1111111111111111
Ahsan Ali,PR Brown,0.125
PR Brown,Ahsan Ali,0.5
Ahsan Ali,Sameen Gul,0.125
Sameen Gul,Ahsan Ali,1.0
Ahsan Ali,Shoaib Malik,0.125
Shoaib Malik,Ahsan Ali,0.09090909090909091
Ahsan Ali,Sohail Khan,0.125
Sohail Khan,Ahsan Ali,0.5
Ahsan Ali,Usman Qadir,0.125
Usman Qadir,Ahsan Ali,0.14285714285714285
BM Duckett,Usman Qadir,0.25
Usman Qadir,BM Duckett,0.14285714285714285
Iftikhar Ahmed,Hussain Talat,0.3
Hussain Talat,Iftikhar Ahmed,0.2222222222222222
Iftikhar Ahmed,PR Brown,0.1
PR Brown,Iftikhar Ahmed,0.5
Iftikhar Ahmed,Sameen Gul,0.1
Sameen Gul,Iftikhar Ahmed,1.0
Iftikhar Ahmed,Sohail Khan,0.1
Sohail Khan,Iftikhar Ahmed,0.5
Mohammad Nawaz,Sameen Gul,0.2
Sameen Gul,Mohammad Nawaz,1.0
WCF Smeed,BCJ Cutting,0.16666666666666666
BCJ Cutting,WCF Smeed,0.1111111111111111
WCF Smeed,Hussain Talat,0.16666666666666666
Hussain Talat,WCF Smeed,0.1111111111111111
WCF Smeed,PR Brown,0.16666666666666666
PR Brown,WCF Smeed,0.5
WCF Smeed,Sameen Gul,0.16666666666666666
Sameen Gul,WCF Smeed,1.0
WCF Smeed,Shoaib Malik,0.16666666666666666
Shoaib Malik,WCF Smeed,0.09090909090909091
WCF Smeed,Sohail Khan,0.16666666666666666
Sohail Khan,WCF Smeed,0.5
WCF Smeed,Usman Qadir,0.16666666666666666
Usman Qadir,WCF Smeed,0.14285714285714285
Abdullah Shafique,DJ Willey,0.18181818181818182
DJ Willey,Abdullah Shafique,0.375
Abdullah Shafique,Imran Khan (2),0.09090909090909091
Imran Khan (2),Abdullah Shafique,0.3333333333333333
Abdullah Shafique,Imran Tahir,0.09090909090909091
Imran Tahir,Abdullah Shafique,0.08333333333333333
Abdullah Shafique,Shahnawaz Dhani,0.09090909090909091
Shahnawaz Dhani,Abdullah Shafique,0.09090909090909091
Abdullah Shafique,TH David,0.09090909090909091
TH David,Abdullah Shafique,0.09090909090909091
BR Dunk,DJ Willey,0.5
DJ Willey,BR Dunk,0.125
BR Dunk,Imran Khan (2),0.5
Imran Khan (2),BR Dunk,0.3333333333333333
BR Dunk,Khushdil Shah,0.5
Khushdil Shah,BR Dunk,0.08333333333333333
BR Dunk,Shahnawaz Dhani,0.5
Shahnawaz Dhani,BR Dunk,0.09090909090909091
D Wiese,DJ Willey,0.15384615384615385
DJ Willey,D Wiese,0.375
D Wiese,Imran Khan (2),0.07692307692307693
Imran Khan (2),D Wiese,0.3333333333333333
D Wiese,Shahnawaz Dhani,0.15384615384615385
Shahnawaz Dhani,D Wiese,0.2727272727272727
Fakhar Zaman,DJ Willey,0.15384615384615385
DJ Willey,Fakhar Zaman,0.375
Fakhar Zaman,Ihsanullah,0.07692307692307693
Ihsanullah,Fakhar Zaman,0.5
Fakhar Zaman,Imran Khan (2),0.07692307692307693
Imran Khan (2),Fakhar Zaman,0.3333333333333333
Fakhar Zaman,Imran Tahir,0.15384615384615385
Imran Tahir,Fakhar Zaman,0.25
Fakhar Zaman,Shahnawaz Dhani,0.15384615384615385
Shahnawaz Dhani,Fakhar Zaman,0.2727272727272727
Fakhar Zaman,TH David,0.07692307692307693
TH David,Fakhar Zaman,0.09090909090909091
Kamran Ghulam,DJ Willey,0.15384615384615385
DJ Willey,Kamran Ghulam,0.375
Kamran Ghulam,Ihsanullah,0.07692307692307693
Ihsanullah,Kamran Ghulam,0.5
Kamran Ghulam,Imran Khan (2),0.07692307692307693
Imran Khan (2),Kamran Ghulam,0.3333333333333333
Kamran Ghulam,Imran Tahir,0.23076923076923078
Imran Tahir,Kamran Ghulam,0.3333333333333333
Kamran Ghulam,Khushdil Shah,0.23076923076923078
Khushdil Shah,Kamran Ghulam,0.3333333333333333
Kamran Ghulam,Shahnawaz Dhani,0.23076923076923078
Shahnawaz Dhani,Kamran Ghulam,0.36363636363636365
Mohammad Hafeez,Ihsanullah,0.07692307692307693
Ihsanullah,Mohammad Hafeez,0.5
Mohammad Hafeez,Imran Khan (2),0.07692307692307693
Imran Khan (2),Mohammad Hafeez,0.3333333333333333
Mohammad Hafeez,Imran Tahir,0.23076923076923078
Imran Tahir,Mohammad Hafeez,0.3333333333333333
Mohammad Hafeez,Khushdil Shah,0.23076923076923078
Khushdil Shah,Mohammad Hafeez,0.3333333333333333
Rashid Khan,Shahnawaz Dhani,0.2222222222222222
Shahnawaz Dhani,Rashid Khan,0.2727272727272727
Aamer Yamin,JP Faulkner,0.2
JP Faulkner,Aamer Yamin,0.16666666666666666
Aamer Yamin,Mohammad Nawaz,0.2
Mohammad Nawaz,Aamer Yamin,0.2
Babar Azam,Iftikhar Ahmed,0.1
Iftikhar Ahmed,Babar Azam,0.1
Babar Azam,JP Faulkner,0.1
JP Faulkner,Babar Azam,0.16666666666666666
Babar Azam,Mohammad Hasnain,0.1
Mohammad Hasnain,Babar Azam,0.3333333333333333
Babar Azam,Mohammad Nawaz,0.1
Mohammad Nawaz,Babar Azam,0.2
Babar Azam,Naseem Shah,0.1
Naseem Shah,Babar Azam,0.1
Babar Azam,Sohail Tanvir,0.1
