Player1,Player2,Matches
DJ Malan,Imad Wasim,0.125
Imad Wasim,DJ Malan,0.125
DJ Malan,Mohammad Amir,0.125
Mohammad Amir,DJ Malan,0.14285714285714285
DJ Malan,RS Bopara,0.125
RS Bopara,DJ Malan,0.1111111111111111
DJ Malan,Sohail Tanvir,0.125
Sohail Tanvir,DJ Malan,0.16666666666666666
DJ Malan,Usama Mir,0.125
Usama Mir,DJ Malan,0.14285714285714285
DJG Sammy,Mohammad Amir,0.1
Mohammad Amir,DJG Sammy,0.14285714285714285
DJG Sammy,Sohail Tanvir,0.1
Sohail Tanvir,DJG Sammy,0.16666666666666666
Kamran Akmal,Imad Wasim,0.1
Imad Wasim,Kamran Akmal,0.125
Kamran Akmal,Mohammad Amir,0.1
Mohammad Amir,Kamran Akmal,0.14285714285714285
Kamran Akmal,RS Bopara,0.1
RS Bopara,Kamran Akmal,0.1111111111111111
Kamran Akmal,Usama Mir,0.1
Usama Mir,Kamran Akmal,0.14285714285714285
Mohammad Hafeez,Imad Wasim,0.1
Imad Wasim,Mohammad Hafeez,0.125
Mohammad Hafeez,Mohammad Amir,0.1
Mohammad Amir,Mohammad Hafeez,0.14285714285714285
Mohammad Hafeez,RS Bopara,0.1
RS Bopara,Mohammad Hafeez,0.1111111111111111
Mohammad Hafeez,Shakib Al Hasan,0.1
Shakib Al Hasan,Mohammad Hafeez,0.125
Mohammad Hafeez,Sohail Tanvir,0.1
Sohail Tanvir,Mohammad Hafeez,0.16666666666666666
Mohammad Hafeez,Usama Mir,0.1
Usama Mir,Mohammad Hafeez,0.14285714285714285
Shahid Afridi,Mohammad Amir,0.1
Mohammad Amir,Shahid Afridi,0.14285714285714285
Shahid Afridi,Sohail Tanvir,0.1
Sohail Tanvir,Shahid Afridi,0.16666666666666666
Tamim Iqbal,Mohammad Amir,0.16666666666666666
Mohammad Amir,Tamim Iqbal,0.14285714285714285
Tamim Iqbal,RS Bopara,0.16666666666666666
RS Bopara,Tamim Iqbal,0.1111111111111111
Tamim Iqbal,Shakib Al Hasan,0.16666666666666666
Shakib Al Hasan,Tamim Iqbal,0.125
Tamim Iqbal,Sohail Tanvir,0.16666666666666666
Sohail Tanvir,Tamim Iqbal,0.16666666666666666
Tamim Iqbal,Usama Mir,0.16666666666666666
Usama Mir,Tamim Iqbal,0.14285714285714285
AD Russell,Mohammad Nabi,0.1
Mohammad Nabi,AD Russell,0.125
AD Russell,Mohammad Nawaz,0.2
Mohammad Nawaz,AD Russell,0.3
AD Russell,Umar Gul,0.1
Umar Gul,AD Russell,0.16666666666666666
AD Russell,Zulfiqar Babar,0.2
Zulfiqar Babar,AD Russell,0.3
Babar Azam,Akbar-ur-Rehman,0.5
Akbar-ur-Rehman,Babar Azam,0.14285714285714285
Babar Azam,Mohammad Nawaz,0.5
Mohammad Nawaz,Babar Azam,0.1
Babar Azam,Umar Gul,0.5
Umar Gul,Babar Azam,0.16666666666666666
Babar Azam,Zulfiqar Babar,0.5
Zulfiqar Babar,Babar Azam,0.1
Imran Khalid,Mohammad Nabi,0.2222222222222222
Mohammad Nabi,Imran Khalid,0.375
Imran Khalid,Mohammad Nawaz,0.2222222222222222
Mohammad Nawaz,Imran Khalid,0.3
Misbah-ul-Haq,Akbar-ur-Rehman,0.1111111111111111
Akbar-ur-Rehman,Misbah-ul-Haq,0.14285714285714285
Misbah-ul-Haq,Anwar Ali,0.1111111111111111
Anwar Ali,Misbah-ul-Haq,0.1111111111111111
Misbah-ul-Haq,Mohammad Nabi,0.1111111111111111
Mohammad Nabi,Misbah-ul-Haq,0.125
Misbah-ul-Haq,Mohammad Nawaz,0.1111111111111111
Mohammad Nawaz,Misbah-ul-Haq,0.1
Misbah-ul-Haq,Zulfiqar Babar,0.1111111111111111
Zulfiqar Babar,Misbah-ul-Haq,0.1
S Badree,Anwar Ali,0.16666666666666666
Anwar Ali,S Badree,0.1111111111111111
S Badree,Umar Gul,0.16666666666666666
Umar Gul,S Badree,0.16666666666666666
SR Watson,Anwar Ali,0.3333333333333333
Anwar Ali,SR Watson,0.3333333333333333
SR Watson,Mohammad Nabi,0.16666666666666666
Mohammad Nabi,SR Watson,0.125
SR Watson,Mohammad Nawaz,0.3333333333333333
Mohammad Nawaz,SR Watson,0.3
SR Watson,Umar Gul,0.16666666666666666
Umar Gul,SR Watson,0.16666666666666666
SR Watson,Zulfiqar Babar,0.3333333333333333
Zulfiqar Babar,SR Watson,0.3
SW Billings,Akbar-ur-Rehman,0.2
Akbar-ur-Rehman,SW Billings,0.14285714285714285
SW Billings,Mohammad Nawaz,0.4
Mohammad Nawaz,SW Billings,0.3
