Player1,Player2,Matches
CJ Jordan,RS Bopara,0.16666666666666666
RS Bopara,Hasan Ali,0.1
Hasan Ali,RS Bopara,0.09090909090909091
RS Bopara,Mohammad Asghar,0.1
Mohammad Asghar,RS Bopara,0.14285714285714285
RS Bopara,Mohammad Hafeez,0.1
Mohammad Hafeez,RS Bopara,0.1
RS Bopara,Shahid Afridi,0.2
Shahid Afridi,RS Bopara,0.3
RS Bopara,Wahab Riaz,0.2
Wahab Riaz,RS Bopara,0.3
Shahzaib Hasan,Mohammad Hafeez,0.5
Mohammad Hafeez,Shahzaib Hasan,0.1
Shoaib Malik,CJ Jordan,0.1
CJ Jordan,Shoaib Malik,0.16666666666666666
Shoaib Malik,Hasan Ali,0.2
Hasan Ali,Shoaib Malik,0.2727272727272727
Shoaib Malik,Mohammad Asghar,0.1
Mohammad Asghar,Shoaib Malik,0.14285714285714285
Shoaib Malik,Shahid Afridi,0.2
Shahid Afridi,Shoaib Malik,0.3
Shoaib Malik,Wahab Riaz,0.2
Wahab Riaz,Shoaib Malik,0.3
Asif Ali,SP Narine,0.25
SP Narine,Asif Ali,0.125
BJ Haddin,Bilawal Bhatti,0.1111111111111111
Bilawal Bhatti,BJ Haddin,0.2
BJ Haddin,GD Elliott,0.1111111111111111
GD Elliott,BJ Haddin,0.14285714285714285
BJ Haddin,SP Narine,0.2222222222222222
SP Narine,BJ Haddin,0.375
DR Smith,Bilawal Bhatti,0.1111111111111111
Bilawal Bhatti,DR Smith,0.2
DR Smith,GD Elliott,0.1111111111111111
GD Elliott,DR Smith,0.14285714285714285
DR Smith,Mohammad Irfan (4),0.1111111111111111
Mohammad Irfan (4),DR Smith,0.14285714285714285
DR Smith,SP Narine,0.2222222222222222
SP Narine,DR Smith,0.375
DR Smith,Sohail Tanvir,0.2222222222222222
Sohail Tanvir,DR Smith,0.375
DR Smith,Yasir Shah,0.2222222222222222
Yasir Shah,DR Smith,0.375
Misbah-ul-Haq,Bilawal Bhatti,0.1111111111111111
Bilawal Bhatti,Misbah-ul-Haq,0.2
Misbah-ul-Haq,GD Elliott,0.1111111111111111
GD Elliott,Misbah-ul-Haq,0.14285714285714285
Misbah-ul-Haq,Mohammad Irfan (4),0.1111111111111111
Mohammad Irfan (4),Misbah-ul-Haq,0.14285714285714285
Misbah-ul-Haq,SP Narine,0.2222222222222222
SP Narine,Misbah-ul-Haq,0.375
Misbah-ul-Haq,Sohail Tanvir,0.1111111111111111
Sohail Tanvir,Misbah-ul-Haq,0.125
Misbah-ul-Haq,Yasir Shah,0.2222222222222222
Yasir Shah,Misbah-ul-Haq,0.375
Mohammad Sami,Sohail Tanvir,0.2222222222222222
Sohail Tanvir,Mohammad Sami,0.375
SR Watson,GD Elliott,0.1111111111111111
GD Elliott,SR Watson,0.14285714285714285
SR Watson,Yasir Shah,0.2222222222222222
Yasir Shah,SR Watson,0.375
SW Billings,Bilawal Bhatti,0.2
Bilawal Bhatti,SW Billings,0.2
SW Billings,GD Elliott,0.2
GD Elliott,SW Billings,0.14285714285714285
SW Billings,Mohammad Irfan (4),0.2
Mohammad Irfan (4),SW Billings,0.14285714285714285
SW Billings,SP Narine,0.2
SP Narine,SW Billings,0.125
SW Billings,Sohail Tanvir,0.2
Sohail Tanvir,SW Billings,0.125
SW Billings,Yasir Shah,0.2
Yasir Shah,SW Billings,0.125
Shadab Khan,Mohammad Irfan (4),0.25
Mohammad Irfan (4),Shadab Khan,0.42857142857142855
Shadab Khan,Sohail Tanvir,0.25
Sohail Tanvir,Shadab Khan,0.375
Babar Azam,Anwar Ali,0.2
Anwar Ali,Babar Azam,0.3333333333333333
Babar Azam,Hassan Khan,0.2
Hassan Khan,Babar Azam,0.3
Babar Azam,Mohammad Nawaz,0.2
Mohammad Nawaz,Babar Azam,0.3
Babar Azam,NLTC Perera,0.1
NLTC Perera,Babar Azam,0.16666666666666666
Babar Azam,TS Mills,0.2
TS Mills,Babar Azam,0.6
Babar Azam,Zulfiqar Babar,0.1
Zulfiqar Babar,Babar Azam,0.125
CH Gayle,Anwar Ali,0.2222222222222222
Anwar Ali,CH Gayle,0.3333333333333333
CH Gayle,NLTC Perera,0.1111111111111111
NLTC Perera,CH Gayle,0.16666666666666666
CH Gayle,TS Mills,0.2222222222222222
TS Mills,CH Gayle,0.6
CH Gayle,Zulfiqar Babar,0.1111111111111111
Zulfiqar Babar,CH Gayle,0.125
Imad Wasim,TS Mills,0.1
TS Mills,Imad Wasim,0.2
KA Pollard,Mohammad Nawaz,0.1
Mohammad Nawaz,KA Pollard,0.1
KA Pollard,TS Mills,0.2
TS Mills,KA Pollard,0.6
KA Pollard,Zulfiqar Babar,0.1
Zulfiqar Babar,KA Pollard,0.125
KC Sangakkara,Hassan Khan,0.2
Hassan Khan,KC Sangakkara,0.3
KC Sangakkara,Mohammad Nawaz,0.2
Mohammad Nawaz,KC Sangakkara,0.3
KC Sangakkara,NLTC Perera,0.1
NLTC Perera,KC Sangakkara,0.16666666666666666
KC Sangakkara,Zulfiqar Babar,0.1
Zulfiqar Babar,KC Sangakkara,0.125
RS Bopara,Anwar Ali,0.2
Anwar Ali,RS Bopara,0.3333333333333333
RS Bopara,NLTC Perera,0.1
NLTC Perera,RS Bopara,0.16666666666666666
RS Bopara,TS Mills,0.1
TS Mills,RS Bopara,0.2
Shahzaib Hasan,Anwar Ali,0.5
Anwar Ali,Shahzaib Hasan,0.1111111111111111
Shahzaib Hasan,TS Mills,0.5
TS Mills,Shahzaib Hasan,0.2
Shoaib Malik,Anwar Ali,0.1
Anwar Ali,Shoaib Malik,0.1111111111111111
Shoaib Malik,Mohammad Nawaz,0.1
Mohammad Nawaz,Shoaib Malik,0.1
Shoaib Malik,NLTC Perera,0.1
NLTC Perera,Shoaib Malik,0.16666666666666666
Sohail Khan,TS Mills,0.1111111111111111
TS Mills,Sohail Khan,0.2
BB McCullum,Mohammad Asghar,0.125
Mohammad Asghar,BB McCullum,0.14285714285714285
Bilawal Bhatti,Shahid Afridi,0.2
Shahid Afridi,Bilawal Bhatti,0.1
Fakhar Zaman,CJ Jordan,0.125
CJ Jordan,Fakhar Zaman,0.16666666666666666
Fakhar Zaman,Hasan Ali,0.125
Hasan Ali,Fakhar Zaman,0.09090909090909091
Fakhar Zaman,Mohammad Hafeez,0.125
