Player1,Player2,Matches
Mohammad Amir,CJ Jordan,0.017241379310344827
CJ Jordan,Mohammad Amir,0.037037037037037035
Mohammad Amir,Wahab Riaz,0.10344827586206896
Wahab Riaz,Mohammad Amir,0.09090909090909091
RS Bopara,CJ Jordan,0.05263157894736842
CJ Jordan,RS Bopara,0.1111111111111111
RS Bopara,Hasan Ali,0.02631578947368421
Hasan Ali,RS Bopara,0.015625
RS Bopara,Mohammad Asghar,0.02631578947368421
Mohammad Asghar,RS Bopara,0.047619047619047616
RS Bopara,Mohammad Hafeez,0.18421052631578946
Mohammad Hafeez,RS Bopara,0.08450704225352113
RS Bopara,Shahid Afridi,0.07894736842105263
Shahid Afridi,RS Bopara,0.07547169811320754
RS Bopara,Wahab Riaz,0.05263157894736842
Wahab Riaz,RS Bopara,0.03896103896103896
Shahzaib Hasan,Mohammad Hafeez,0.25
Mohammad Hafeez,Shahzaib Hasan,0.014084507042253521
Shoaib Malik,CJ Jordan,0.04225352112676056
CJ Jordan,Shoaib Malik,0.14814814814814814
Shoaib Malik,Hasan Ali,0.09859154929577464
Hasan Ali,Shoaib Malik,0.125
Shoaib Malik,Mohammad Asghar,0.014084507042253521
Mohammad Asghar,Shoaib Malik,0.047619047619047616
Shoaib Malik,Shahid Afridi,0.04225352112676056
Shahid Afridi,Shoaib Malik,0.07547169811320754
Shoaib Malik,Wahab Riaz,0.056338028169014086
Wahab Riaz,Shoaib Malik,0.06493506493506493
Asif Ali,SP Narine,0.014925373134328358
SP Narine,Asif Ali,0.058823529411764705
BJ Haddin,Bilawal Bhatti,0.058823529411764705
Bilawal Bhatti,BJ Haddin,0.125
BJ Haddin,GD Elliott,0.11764705882352941
GD Elliott,BJ Haddin,0.23076923076923078
BJ Haddin,SP Narine,0.11764705882352941
SP Narine,BJ Haddin,0.17647058823529413
DR Smith,Bilawal Bhatti,0.03571428571428571
Bilawal Bhatti,DR Smith,0.125
DR Smith,GD Elliott,0.03571428571428571
GD Elliott,DR Smith,0.07692307692307693
DR Smith,Mohammad Irfan (4),0.10714285714285714
Mohammad Irfan (4),DR Smith,0.2
DR Smith,SP Narine,0.07142857142857142
SP Narine,DR Smith,0.17647058823529413
DR Smith,Sohail Tanvir,0.10714285714285714
Sohail Tanvir,DR Smith,0.06666666666666667
DR Smith,Yasir Shah,0.07142857142857142
Yasir Shah,DR Smith,0.1111111111111111
Misbah-ul-Haq,Bilawal Bhatti,0.034482758620689655
Bilawal Bhatti,Misbah-ul-Haq,0.125
Misbah-ul-Haq,GD Elliott,0.034482758620689655
GD Elliott,Misbah-ul-Haq,0.07692307692307693
Misbah-ul-Haq,Mohammad Irfan (4),0.10344827586206896
Mohammad Irfan (4),Misbah-ul-Haq,0.2
Misbah-ul-Haq,SP Narine,0.10344827586206896
SP Narine,Misbah-ul-Haq,0.23529411764705882
Misbah-ul-Haq,Sohail Tanvir,0.10344827586206896
Sohail Tanvir,Misbah-ul-Haq,0.06666666666666667
Misbah-ul-Haq,Yasir Shah,0.10344827586206896
Yasir Shah,Misbah-ul-Haq,0.14814814814814814
Mohammad Sami,Sohail Tanvir,0.19444444444444445
Sohail Tanvir,Mohammad Sami,0.13333333333333333
SR Watson,GD Elliott,0.021739130434782608
GD Elliott,SR Watson,0.07692307692307693
SR Watson,Yasir Shah,0.13043478260869565
Yasir Shah,SR Watson,0.25925925925925924
SW Billings,Bilawal Bhatti,0.1
Bilawal Bhatti,SW Billings,0.125
SW Billings,GD Elliott,0.2
GD Elliott,SW Billings,0.23076923076923078
SW Billings,Mohammad Irfan (4),0.1
Mohammad Irfan (4),SW Billings,0.05
