Player1,Player2,Matches
CJ Jordan,Sohail Tanvir,0.2
Sohail Tanvir,CJ Jordan,0.1111111111111111
DJG Sammy,Imran Tahir,0.09090909090909091
Imran Tahir,DJG Sammy,0.1111111111111111
DJG Sammy,Junaid Khan,0.09090909090909091
Junaid Khan,DJG Sammy,0.14285714285714285
DJG Sammy,Sohail Tanvir,0.09090909090909091
Sohail Tanvir,DJG Sammy,0.1111111111111111
DR Smith,GC Viljoen,0.1
GC Viljoen,DR Smith,0.5
DR Smith,Imran Tahir,0.1
Imran Tahir,DR Smith,0.1111111111111111
DR Smith,Junaid Khan,0.1
Junaid Khan,DR Smith,0.14285714285714285
DR Smith,Mohammad Irfan,0.1
Mohammad Irfan,DR Smith,0.1111111111111111
DR Smith,Sohail Tanvir,0.1
Sohail Tanvir,DR Smith,0.1111111111111111
Hammad Azam,Junaid Khan,0.5
Junaid Khan,Hammad Azam,0.14285714285714285
Hammad Azam,Sohail Tanvir,0.5
Sohail Tanvir,Hammad Azam,0.1111111111111111
Haris Sohail,GC Viljoen,0.3333333333333333
GC Viljoen,Haris Sohail,0.5
Haris Sohail,Imran Tahir,0.3333333333333333
Imran Tahir,Haris Sohail,0.1111111111111111
Haris Sohail,Junaid Khan,0.3333333333333333
Junaid Khan,Haris Sohail,0.14285714285714285
Haris Sohail,Mohammad Irfan,0.3333333333333333
Mohammad Irfan,Haris Sohail,0.1111111111111111
Kamran Akmal,Mohammad Irfan,0.07692307692307693
Mohammad Irfan,Kamran Akmal,0.1111111111111111
Kamran Akmal,Sohail Tanvir,0.07692307692307693
Sohail Tanvir,Kamran Akmal,0.1111111111111111
Mohammad Hafeez,GC Viljoen,0.07692307692307693
GC Viljoen,Mohammad Hafeez,0.5
Mohammad Hafeez,Imran Tahir,0.07692307692307693
Imran Tahir,Mohammad Hafeez,0.1111111111111111
Mohammad Hafeez,Junaid Khan,0.07692307692307693
Junaid Khan,Mohammad Hafeez,0.14285714285714285
Mohammad Hafeez,Mohammad Irfan,0.07692307692307693
Mohammad Irfan,Mohammad Hafeez,0.1111111111111111
Mohammad Hafeez,Sohail Tanvir,0.07692307692307693
Sohail Tanvir,Mohammad Hafeez,0.1111111111111111
Tamim Iqbal,Mohammad Irfan,0.16666666666666666
Mohammad Irfan,Tamim Iqbal,0.1111111111111111
Tamim Iqbal,Sohail Tanvir,0.16666666666666666
Sohail Tanvir,Tamim Iqbal,0.1111111111111111
Babar Azam,Hassan Khan,0.09090909090909091
Hassan Khan,Babar Azam,0.09090909090909091
Babar Azam,JC Archer,0.09090909090909091
JC Archer,Babar Azam,0.5
Babar Azam,Rahat Ali,0.09090909090909091
Rahat Ali,Babar Azam,0.09090909090909091
CA Ingram,Anwar Ali,0.09090909090909091
Anwar Ali,CA Ingram,0.09090909090909091
CA Ingram,Hassan Khan,0.09090909090909091
Hassan Khan,CA Ingram,0.09090909090909091
