Player1,Player2,Matches
AB de Villiers,CS Delport,0.14285714285714285
CS Delport,AB de Villiers,0.08333333333333333
AB de Villiers,Faheem Ashraf,0.14285714285714285
Faheem Ashraf,AB de Villiers,0.08333333333333333
AB de Villiers,Hussain Talat,0.14285714285714285
Hussain Talat,AB de Villiers,0.1
AB de Villiers,Shadab Khan,0.14285714285714285
Shadab Khan,AB de Villiers,0.08333333333333333
AB de Villiers,Waqas Maqsood,0.14285714285714285
Waqas Maqsood,AB de Villiers,0.5
AP Devcich,CS Delport,0.2
CS Delport,AP Devcich,0.08333333333333333
AP Devcich,Faheem Ashraf,0.2
Faheem Ashraf,AP Devcich,0.08333333333333333
AP Devcich,Waqas Maqsood,0.2
Waqas Maqsood,AP Devcich,0.5
BRM Taylor,CS Delport,0.25
CS Delport,BRM Taylor,0.08333333333333333
BRM Taylor,Waqas Maqsood,0.25
Waqas Maqsood,BRM Taylor,0.5
CR Brathwaite,Faheem Ashraf,1.0
Faheem Ashraf,CR Brathwaite,0.08333333333333333
CR Brathwaite,Waqas Maqsood,1.0
Waqas Maqsood,CR Brathwaite,0.5
Fakhar Zaman,Faheem Ashraf,0.1
Faheem Ashraf,Fakhar Zaman,0.08333333333333333
Fakhar Zaman,Hussain Talat,0.1
Hussain Talat,Fakhar Zaman,0.1
Fakhar Zaman,Mohammad Sami,0.1
Mohammad Sami,Fakhar Zaman,0.1111111111111111
Fakhar Zaman,SR Patel,0.1
SR Patel,Fakhar Zaman,0.125
Fakhar Zaman,Shadab Khan,0.1
Shadab Khan,Fakhar Zaman,0.08333333333333333
Fakhar Zaman,Waqas Maqsood,0.1
Waqas Maqsood,Fakhar Zaman,0.5
Mohammad Hafeez,Faheem Ashraf,0.5
Faheem Ashraf,Mohammad Hafeez,0.08333333333333333
Mohammad Hafeez,Mohammad Sami,0.5
Mohammad Sami,Mohammad Hafeez,0.1111111111111111
Shaheen Shah Afridi,Mohammad Sami,0.125
Mohammad Sami,Shaheen Shah Afridi,0.1111111111111111
Sohail Akhtar,Faheem Ashraf,0.1
Faheem Ashraf,Sohail Akhtar,0.08333333333333333
Sohail Akhtar,Mohammad Sami,0.1
