Player1,Player2,Matches
Azam Khan,Arshad Iqbal,0.1
Arshad Iqbal,Azam Khan,0.1111111111111111
Azam Khan,DT Christian,0.1
DT Christian,Azam Khan,0.2
Azam Khan,Imad Wasim,0.1
Imad Wasim,Azam Khan,0.09090909090909091
Azam Khan,Waqas Maqsood,0.1
Waqas Maqsood,Azam Khan,0.14285714285714285
BCJ Cutting,Arshad Iqbal,0.2
Arshad Iqbal,BCJ Cutting,0.1111111111111111
BCJ Cutting,Imad Wasim,0.2
Imad Wasim,BCJ Cutting,0.09090909090909091
CH Gayle,Aamer Yamin,0.5
Aamer Yamin,CH Gayle,0.25
CH Gayle,Arshad Iqbal,0.5
Arshad Iqbal,CH Gayle,0.1111111111111111
CH Gayle,DT Christian,0.5
DT Christian,CH Gayle,0.2
CH Gayle,Imad Wasim,0.5
Imad Wasim,CH Gayle,0.09090909090909091
CH Gayle,Mohammad Amir,0.5
Mohammad Amir,CH Gayle,0.09090909090909091
CH Gayle,Waqas Maqsood,0.5
Waqas Maqsood,CH Gayle,0.14285714285714285
Mohammad Hasnain,Arshad Iqbal,0.1111111111111111
Arshad Iqbal,Mohammad Hasnain,0.1111111111111111
Mohammad Hasnain,Mohammad Amir,0.1111111111111111
Mohammad Amir,Mohammad Hasnain,0.09090909090909091
Naseem Shah,Arshad Iqbal,0.25
Arshad Iqbal,Naseem Shah,0.1111111111111111
Naseem Shah,Mohammad Amir,0.25
Mohammad Amir,Naseem Shah,0.09090909090909091
Qais Ahmad,Arshad Iqbal,0.5
Arshad Iqbal,Qais Ahmad,0.1111111111111111
Qais Ahmad,Imad Wasim,0.5
Imad Wasim,Qais Ahmad,0.09090909090909091
Qais Ahmad,Mohammad Amir,0.5
Mohammad Amir,Qais Ahmad,0.09090909090909091
Qais Ahmad,Waqas Maqsood,0.5
Waqas Maqsood,Qais Ahmad,0.14285714285714285
Saim Ayub,Aamer Yamin,0.14285714285714285
Aamer Yamin,Saim Ayub,0.25
Saim Ayub,Arshad Iqbal,0.14285714285714285
Arshad Iqbal,Saim Ayub,0.1111111111111111
Saim Ayub,Mohammad Amir,0.14285714285714285
Mohammad Amir,Saim Ayub,0.09090909090909091
Saim Ayub,Waqas Maqsood,0.14285714285714285
