Name,Skill,Team,Mats,Wkts
Shaheen Shah Afridi,LAMF,Lahore Qalandars,12,17
Mohammad Hasnain,RAFM,Quetta Gladiators,9,15
Sohail Tanvir,LAMF,Multan Sultans,10,14
Dilbar Hussain,RAF,Lahore Qalandars,11,14
David Wiese,RAFM,Lahore Qalandars,11,12
Imran Tahir,RALB,Multan Sultans,10,11
Wahab Riaz,LAFM,Peshawar Zalmi,10,11
Samit Patel,SLAO,Lahore Qalandars,12,10
Haris Rauf,RAFM,Lahore Qalandars,8,10
Mohammad Aamer,LAFM,Karachi Kings,11,10
Arshad Iqbal,RAMF,Karachi Kings,7,9
Chris Jordan,RAFM,Karachi Kings,9,9
Rahat Ali,LAFM,Peshawar Zalmi,10,9
Mohammad Ilyas,RAMF,Multan Sultans,9,8
Ben Cutting,RAFM,Quetta Gladiators,7,8
Umaid Asif,RAMF,Karachi Kings,7,8
Shadab Khan,RALB,Islamabad United,9,8
Hasan Ali,RAMF,Peshawar Zalmi,9,8
Salman Irshad,RAFM,Lahore Qalandars,5,7
Shahid Afridi,RALB,Multan Sultans,9,7
Faheem Ashraf,RAMF,Islamabad United,7,7
Imad Wasim,LAO,Karachi Kings,11,7
Sohail Khan,RAMF,,8,7
Waqas Maqsood,LAMF,Karachi Kings,3,6
Rumman Raees,LAMF,Islamabad United,6,6
Musa Khan,RAMF,Islamabad United,7,6
Mohammad Nawaz,LAO,Quetta Gladiators,9,6
Zafar Gohar,LAO,Islamabad United,3,5
Carlos Brathwaite,RAMF,Peshawar Zalmi,4,5
Moeen Ali,RAOB,Multan Sultans,9,5
Tymal Mills,LAFM,Quetta Gladiators,4,5
Amad Butt,RAFM,Islamabad United,5,5
Naseem Shah,RAFM,Quetta Gladiators,6,5
Ahmed Safi Abdullah,SLAO,Islamabad United,3,4
Lewis Gregory,RAMF,Peshawar Zalmi,4,4
Akif Javed,LAMF,Islamabad United,6,4
Umer Khan,SLAO,Karachi Kings,6,4
Fawad Ahmed,RALB,Quetta Gladiators,5,4
Mohammad Irfan Snr,LAFM,Multan Sultans,8,4
Saqib Mahmood,RAF,Peshawar Zalmi,1,3
Aamer Yamin,RAMF,Karachi Kings,3,3
Bilawal Bhatti,RAFM,Multan Sultans,2,3
Mohammad Faizan,RAMF,,7,3
Junaid Khan,LAFM,Multan Sultans,3,3
Mohammad Amir Khan,RAMF,Peshawar Zalmi,4,3
Yasir Shah,RALB,Peshawar Zalmi,4,3
Mohammad Hafeez,RAOB,Lahore Qalandars,13,3
Raja Farzan Khan,RALB,Lahore Qalandars,2,2
Ali Shafique,RAMF,Multan Sultans,2,2
Maaz Khan,RALB,Lahore Qalandars,3,2
Dale Steyn,RAFM,Islamabad United,4,2
Iftikhar Ahmed,RAOB,Karachi Kings,12,2
Darren Sammy,RAMF,,4,1
Muhammad Imran,RAMF,Peshawar Zalmi,1,1
Usman Qadir,RALB,Multan Sultans,1,1
Khushdil Shah,SLAO,,11,1
Adam Lyth,RAMF,Multan Sultans,2,1
Mohammad Mohsin,RALB,Peshawar Zalmi,2,1
Ali Khan,RAF,Karachi Kings,1,1
Cameron Delport,RAMF,,8,1
Hardus Viljoen,RAFM,Peshawar Zalmi,1,0
Liam Dawson,SLAO,,4,0
Seekkuge Prasanna,RALB,Lahore Qalandars,2,0
Usama Mir,RALB,Karachi Kings,3,0
Hammad Azam,RAMF,Peshawar Zalmi,1,0
Wayne Parnell,LAFM,Karachi Kings,1,0
Liam Livingstone,RALB,Peshawar Zalmi,8,0
Zahid Mehmood,RALB,Quetta Gladiators,1,0
Shoaib Malik,RAOB,Peshawar Zalmi,9,0
Anwar Ali,RAMF,Quetta Gladiators,3,0
Mitchell McClenaghan,LAMF,Karachi Kings,1,0
Abdul Nasir,RAOB,Quetta Gladiators,1,0
Usman Khan Shinwari,LAFM,Lahore Qalandars,4,0
Hussain Talat,RAMF,,5,0
Ravi Bopara,RAMF,Multan Sultans,6,0
Jason Roy,,,8,
James Vince,RAMF,,5,
Tamim Iqbal,RAOB,,3,
Babar Azam,RAOB,,12,
Zeeshan Ashraf,RAOB,,11,
Faf du Plessis,RALB,,1,
Fakhar Zaman,LAO,,12,
Khurram Manzoor,RAOB,,1,
Sherfane Rutherford,RAFM,,2,
Chris Lynn,LAO,,8,
Rilee Rossouw,RAOB,,9,
Adil Amin,RAOB,,1,
Colin Ingram,RALB,,9,
Shan Masood,RAMF,,11,
Shane Watson,RAMF,,9,
Chadwick Walton,,,12,
Ahmed Shehzad,RALB,,7,
Salman Butt,RAOB,,1,
Asif Ali,RAOB,,9,
Ben Dunk,RAOB,,11,
Luke Ronchi,,,8,
Haider Ali,,,10,
Kamran Akmal,,,9,
Phil Salt,RAOB,,1,
Ahsan Ali,,,3,
Colin Munro,RAMF,,8,
Asad Shafiq,RALB,,1,
Rohail Nazir,,,2,
Sharjeel Khan,LAO,,12,
Azam Khan,,,9,
Alex Hales,RAMF,,9,
Mohammad Rizwan,,,2,
Sarfaraz Ahmed,,,9,
Umar Amin,RAMF,,1,
Imam-ul-Haq,RALB,,4,
Rizwan Hussain,,,5,
Dawid Malan,,,4,
Sohaib Maqsood,RAOB,,1,
Sohail Akhtar,RAMF,,13,
Tom Banton,,,7,
Dane Vilas,,,5,
