Name,Skill,Team,Mats,Wkts
Sohail Khan,RAMF,Karachi Kings,9,16
Wahab Riaz,LAFM,Peshawar Zalmi,10,15
Rumman Raees,LAMF,Islamabad United,7,12
Mohammad Sami,RAMF,Islamabad United,9,12
Usama Mir,RALB,Karachi Kings,8,12
Hasan Ali,RAMF,Peshawar Zalmi,11,12
Sunil Narine,RAOB,Lahore Qalandars,8,10
Shane Watson,RAMF,Islamabad United,9,10
Sohail Tanvir,LAMF,Lahore Qalandars,8,10
Mohammad Nawaz,LAO,Quetta Gladiators,10,10
Mohammad Aamer,LAFM,Karachi Kings,10,10
Yasir Shah,RALB,Lahore Qalandars,8,9
Shadab Khan,RALB,Islamabad United,8,9
Hassan Khan,LAO,Quetta Gladiators,10,9
Chris Jordan,RAFM,Peshawar Zalmi,6,8
Mohammad Asghar,LAO,Peshawar Zalmi,7,8
Imad Wasim,LAO,Karachi Kings,10,8
Mohammad Hafeez,RAOB,,10,7
Mahmudullah,RAOB,Quetta Gladiators,6,7
Tymal Mills,LAFM,Quetta Gladiators,5,7
Muhammad Irfan Jnr,RAMF,Lahore Qalandars,7,7
Mohammad Irfan Snr,LAFM,Islamabad United,8,7
Usman Khan Shinwari,LAFM,Karachi Kings,8,6
Zulfiqar Babar,LAO,Quetta Gladiators,8,6
Anwar Ali,RAMF,Quetta Gladiators,9,6
Shakib Al Hasan,SLAO,Peshawar Zalmi,5,5
Thisara Perera,RAMF,Quetta Gladiators,6,5
Aamer Yamin,RAMF,Lahore Qalandars,3,4
Grant Elliott,RAFM,Lahore Qalandars,7,4
Rayad Emrit,RAMF,Quetta Gladiators,1,3
Shoaib Malik,RAOB,Karachi Kings,10,3
Saeed Ajmal,RAOB,Islamabad United,4,3
Iftikhar Ahmed,RAOB,,3,2
Darren Sammy,RAMF,,11,2
Junaid Khan,LAFM,Peshawar Zalmi,3,2
Shahid Afridi,RALB,Peshawar Zalmi,10,2
Fakhar Zaman,LAO,,8,1
Rilee Rossouw,RAOB,,9,1
Cameron Delport,RAMF,,4,1
Umar Gul,RAMF,Quetta Gladiators,2,1
Imran Khan Jnr,LAMF,Peshawar Zalmi,1,1
Mir Hamza,LAMF,Quetta Gladiators,1,1
Amad Butt,RAFM,,4,1
Imran Khalid,SLAO,Islamabad United,3,1
Bilawal Bhatti,RAFM,Lahore Qalandars,5,1
Ravi Bopara,RAMF,,10,0
Abrar Ahmed,RAOB,Karachi Kings,2,0
Ghulam Mudassar,LAFM,Lahore Qalandars,1,0
Saad Nasim,RALB,,3,0
Zohaib Khan,LAO,Islamabad United,1,0
Kashif Bhatti,SLAO,Karachi Kings,1,0
Samuel Badree,RALB,Islamabad United,1,0
Kieron Pollard,RAMF,,10,0
Brendon McCullum,,,8,0
Shahzaib Hasan,RAOB,,2,
Jason Roy,,,5,
Dwayne Smith,RAMF,,9,
Anamul Haque,,,1,
Sean Ervine,RAMF,,1,
Sam Billings,,,5,
Eoin Morgan,,,6,
Haris Sohail,LAO,,3,
Kevin Pietersen,RAOB,,9,
Hussain Talat,RAMF,,2,
Sharjeel Khan,LAO,,1,
Tamim Iqbal,RAOB,,5,
Sohaib Maqsood,RAOB,,6,
Asad Shafiq,RALB,,7,
Morne van Wyk,SLAO,,1,
Asif Ali,RAOB,,4,
Brad Haddin,,,9,
Sarfaraz Ahmed,,,10,
Babar Azam,RAOB,,10,
Luke Wright,RAMF,,1,
Chris Gayle,RAOB,,9,
Khushdil Shah,SLAO,,2,
Umar Akmal,RAOB,,8,
Nicholas Pooran,,,1,
Marlon Samuels,RAOB,,5,
Ben Duckett,RAOB,,2,
Kumar Sangakkara,,,10,
Misbah ul Haq,,,9,
Mohammad Rizwan,,,8,
Kamran Akmal,,,11,
Mahela Jayawardene,RAMF,,1,
Dawid Malan,,,6,
Rafatullah Mohmand,,,3,
Ahmed Shehzad,RALB,,10,
