Name,Skill,Team,Mats,Wkts
Andre Russell,RAFM,Islamabad United,10,16
Wahab Riaz,LAFM,Peshawar Zalmi,9,15
Mohammad Nawaz,LAO,Quetta Gladiators,10,13
Mohammad Sami,RAMF,Islamabad United,7,12
Grant Elliott,RAFM,Quetta Gladiators,6,11
Ravi Bopara,RAMF,Karachi Kings,9,11
Mohammad Asghar,LAO,Peshawar Zalmi,9,11
Shahid Afridi,RALB,Peshawar Zalmi,10,10
Shaun Tait,RAFM,Peshawar Zalmi,9,10
Imran Khalid,SLAO,Islamabad United,9,9
Anwar Ali,RAMF,Quetta Gladiators,9,9
Zulfiqar Babar,LAO,Quetta Gladiators,10,9
Zafar Gohar,LAO,Lahore Qalandars,6,7
Mohammad Irfan Snr,LAFM,Islamabad United,6,7
Mohammad Aamer,LAFM,Karachi Kings,7,7
Ehsan Adil,RAMF,Lahore Qalandars,5,7
Aizaz Cheema,RAMF,Quetta Gladiators,4,6
Kevon Cooper,RAMF,Lahore Qalandars,7,6
Saeed Ajmal,RAOB,Islamabad United,6,6
Junaid Khan,LAFM,Peshawar Zalmi,6,6
Usama Mir,RALB,Karachi Kings,7,6
Cameron Delport,RAMF,Lahore Qalandars,8,4
Ajantha Mendis,RAMF,Lahore Qalandars,4,4
Darren Sammy,RAMF,Peshawar Zalmi,10,4
Sohail Khan,RAMF,Karachi Kings,5,4
Imad Wasim,LAO,Karachi Kings,8,4
Samuel Badree,RALB,Islamabad United,6,4
Umar Gul,RAMF,Quetta Gladiators,6,4
Rumman Raees,LAMF,Islamabad United,8,4
Mohammad Nabi,RAOB,Quetta Gladiators,8,4
Dwayne Bravo,RAMF,Lahore Qalandars,8,4
Zia-ul-Haq,LAMF,Lahore Qalandars,3,3
Shakib Al Hasan,SLAO,Karachi Kings,8,3
Zohaib Khan,LAO,Lahore Qalandars,7,3
Bilawal Bhatti,RAFM,Karachi Kings,1,2
Hasan Ali,RAMF,Peshawar Zalmi,3,2
Sohail Tanvir,LAMF,Karachi Kings,6,2
Nathan McCullum,RAOB,,2,1
Imran Khan Jnr,LAMF,Peshawar Zalmi,1,1
Aamer Yamin,RAMF,Peshawar Zalmi,2,1
Azhar Mahmood,RAFM,Islamabad United,2,1
Shoaib Malik,RAOB,,9,1
Shane Watson,RAMF,Islamabad United,6,1
Azhar Ali,RALB,,7,0
Akbar-ur-Rehman,RAOB,,7,0
Iftikhar Ahmed,RAOB,,4,0
Ashar Zaidi,LAMF,Islamabad United,3,0
Abdur Rehman,LAO,Peshawar Zalmi,1,0
Mir Hamza,LAMF,,4,0
Adnan Rasool,RAOB,Lahore Qalandars,3,0
Dwayne Smith,RAMF,,4,0
Kamran Ghulam,LAO,Islamabad United,2,0
Chris Gayle,RAOB,,5,0
Hammad Azam,RAMF,Lahore Qalandars,3,0
Kumar Sangakkara,,,4,
Sohaib Maqsood,RAOB,,2,
Bismillah Khan,RAMF,,3,
Sam Billings,,,5,
Jonny Bairstow,,,1,
Babar Azam,RAOB,,2,
Asif Ali,RAOB,,6,
Umar Akmal,RAOB,,7,
Luke Wright,RAMF,,6,
Riki Wessels,,,2,
Misbah ul Haq,,,9,
Brad Hodge,RAOB,,4,
Mohammad Hafeez,RAOB,,10,
Mohammad Rizwan,,,8,
Kevin Pietersen,RAOB,,9,
Ahmed Shehzad,RALB,,10,
James Vince,RAMF,,7,
Tamim Iqbal,RAOB,,6,
James Allenby,RAMF,,2,
Shahzaib Hasan,RAOB,,2,
Asad Shafiq,RALB,,1,
Elton Chigumbura,RAMF,,5,
Brad Haddin,,,8,
Mushfiqur Rahim,,,3,
Nauman Anwar,,,5,
Sharjeel Khan,LAO,,11,
Shahid Yousuf,RAMF,,9,
Umar Amin,RAMF,,2,
Saifullah Bangash,,,5,
Sarfaraz Ahmed,,,10,
Lendl Simmons,,,6,
Ryan ten Doeschate,RAMF,,1,
Kamran Akmal,,,10,
Naved Yasin,SLAO,,5,
Khalid Latif,,,9,
Dawid Malan,,,8,
