Name,Skill,Team,Mats,Wkts
Carlos Brathwaite,RAMF,Multan Sultans,5,4
Abrar Ahmed,RAOB,Peshawar Zalmi,2,3
Qais Ahmad,RALB,Quetta Gladiators,2,3
Hussain Talat,RAMF,,11,3
Fabian Allen,SLAO,Peshawar Zalmi,3,3
Lewis Gregory,RAMF,Islamabad United,2,2
Samit Patel,SLAO,Lahore Qalandars,3,2
Mohammad Hafeez,RAOB,,10,2
Mohammad Salman Mirza,LAMF,Lahore Qalandars,3,2
Ali Khan,RAF,Islamabad United,3,2
Aamer Yamin,RAMF,Karachi Kings,4,2
Muhammad Umar,RAFM,Multan Sultans,2,2
David Wiese,RAFM,Lahore Qalandars,4,2
Shahid Afridi,RALB,Multan Sultans,4,2
Mujeeb ur Rehman,RAOB,Peshawar Zalmi,4,2
Amad Butt,RAFM,Peshawar Zalmi,4,2
Sohail Khan,RAMF,Multan Sultans,5,2
Abdul Nasir,RAOB,Quetta Gladiators,1,1
Khushdil Shah,SLAO,,11,1
Zahir Khan,SLACM,Quetta Gladiators,2,1
Hassan Khan,LAO,Quetta Gladiators,3,1
Shoaib Malik,RAOB,Peshawar Zalmi,13,1
Ben Cutting,RAFM,Quetta Gladiators,5,1
Iftikhar Ahmed,RAOB,Islamabad United,12,1
Mohammad Nabi,RAOB,Karachi Kings,5,1
Zafar Gohar,LAO,Islamabad United,3,0
Qasim Akram,RAOB,Karachi Kings,1,0
Cameron Delport,RAMF,,5,0
Zahoor Khan,RAMF,Quetta Gladiators,1,0
Waqar Salamkheil,LAMF,Peshawar Zalmi,1,0
Naseem Shah,RAFM,Quetta Gladiators,3,0
Sohaibullah,LAMF,Multan Sultans,1,0
Anwar Ali,RAMF,Quetta Gladiators,1,0
Jack Wildermuth,RAMF,Quetta Gladiators,2,0
Rovman Powell,RAMF,,8,0
Khalid Usman,SLAO,Peshawar Zalmi,1,0
Danish Aziz,LAO,Karachi Kings,3,0
Hammad Azam,RAMF,Multan Sultans,1,0
Mohammad Faizan,RAMF,,2,
Johnson Charles,,,5,
Chris Gayle,RAOB,,2,
Hazratullah Zazai,LAO,,5,
Tom Banton,,,2,
Salman Ali Agha,RAOB,,4,
Joe Clarke,,,5,
Mohammad Rizwan,,,12,
Usman Khawaja,RAMF,,7,
Haider Ali,,,9,
Babar Azam,RAOB,,11,
Phil Salt,RAOB,,3,
David Miller,RAOB,,3,
Imam-ul-Haq,RALB,,6,
Kamran Akmal,,,13,
Brandon King,,,3,
Muhammad Akhlaq,RAOB,,5,
Sarfaraz Ahmed,,,10,
Rohail Nazir,,,4,
Faf du Plessis,RALB,,4,
Zeeshan Ashraf,RAOB,,3,
Ben Dunk,RAOB,,10,
Alex Hales,RAMF,,4,
Jake Weatherald,RALB,,5,
Andre Russell,RAFM,,1,
Shimron Hetmyer,LBnG,,2,
Rahmanullah Gurbaz,,,1,
Chris Lynn,LAO,,4,
Tim David,RAOB,,6,
Asif Ali,RAOB,,12,
Shan Masood,RAMF,,7,
Colin Ingram,RALB,,5,
Martin Guptill,RAOB,,6,
Chadwick Walton,,,6,
Fakhar Zaman,LAO,,10,
Ravi Bopara,RAMF,,2,
Saim Ayub,RAMF,,7,
Sherfane Rutherford,RAFM,,13,
Jonathan Wells,RAMF,,2,
Azam Khan,,,10,
Rilee Rossouw,RAOB,,12,
Najibullah Zadran,RAOB,,5,
Joe Denly,RALB,,2,
Sohaib Maqsood,RAOB,,12,
Sohail Akhtar,RAMF,,10,
Usman Khan,RAOB,,6,
Sharjeel Khan,LAO,,11,
Colin Munro,RAMF,,7,
Paul Stirling,RAOB,,2,
James Vince,RAMF,,5,
Umar Amin,RAMF,,1,
Tom Kohler-Cadmore,RAOB,,4,
