Name,Skill,Team,Mats,Wkts
Shahnawaz Dahani,RAMF,Multan Sultans,11,20
Wahab Riaz,LAFM,Peshawar Zalmi,12,18
Shaheen Shah Afridi,LAMF,Lahore Qalandars,10,16
James Faulkner,LAMF,Lahore Qalandars,6,13
Imran Tahir,RALB,Multan Sultans,7,13
Hasan Ali,RAMF,Islamabad United,10,13
Saqib Mahmood,RAF,Peshawar Zalmi,5,12
Imran Khan Snr,RAMF,Multan Sultans,7,12
Mohammad Wasim Jnr,RAMF,Islamabad United,11,12
Rashid Khan,RALB,Lahore Qalandars,8,11
Blessing Muzarabani,RAFM,Multan Sultans,6,10
Mohammad Irfan Snr,LAFM,Peshawar Zalmi,10,10
Haris Rauf,RAFM,Lahore Qalandars,9,10
Faheem Ashraf,RAMF,Islamabad United,8,9
Mohammad Hasnain,RAFM,Quetta Gladiators,9,9
Shadab Khan,RALB,Islamabad United,11,9
Mohammad Imran,LAMF,Peshawar Zalmi,11,9
Mohammad Ilyas,RAMF,Karachi Kings,5,8
Arshad Iqbal,RAMF,Karachi Kings,9,8
Umaid Asif,RAMF,Peshawar Zalmi,9,8
Khurram Shahzad,RAMF,Quetta Gladiators,5,7
Waqas Maqsood,LAMF,Karachi Kings,7,7
Imad Wasim,LAO,Karachi Kings,11,7
Akif Javed,LAMF,Islamabad United,5,6
Fawad Ahmed,RALB,Islamabad United,5,6
Mohammad Nawaz,LAO,Quetta Gladiators,9,6
Zahid Mehmood,RALB,Quetta Gladiators,6,6
Ahmed Daniyal,RAFM,Lahore Qalandars,10,6
Musa Khan,RAMF,Islamabad United,3,5
Sameen Gul,RAMF,Peshawar Zalmi,3,5
Usman Khan Shinwari,LAFM,Quetta Gladiators,5,5
Sohail Tanvir,LAMF,Multan Sultans,8,5
Mohammad Aamer,LAFM,Karachi Kings,11,5
Arish Ali Khan,LAO,Quetta Gladiators,1,4
Thisara Perera,RAMF,Karachi Kings,3,4
Dale Steyn,RAFM,Quetta Gladiators,3,4
Mohammad Abbas Afridi,RAMF,Karachi Kings,4,4
Usman Qadir,RALB,Multan Sultans,4,4
Noor Ahmad,SLACM,Karachi Kings,4,4
Daniel Christian,RAFM,Karachi Kings,5,4
