Name,Skill,Team,Mats,Wkts
Hasan Ali,RAMF,Peshawar Zalmi,13,25
Faheem Ashraf,RAMF,Islamabad United,12,21
Wahab Riaz,LAFM,Peshawar Zalmi,13,17
Umer Khan,SLAO,Karachi Kings,11,15
Sohail Tanvir,LAMF,Quetta Gladiators,12,15
Mohammad Aamer,LAFM,Karachi Kings,9,13
Usman Khan Shinwari,LAFM,Karachi Kings,9,13
Mohammad Nawaz,LAO,Quetta Gladiators,12,13
Mohammad Hasnain,RAFM,Quetta Gladiators,7,12
Sandeep Lamichhane,RALB,Lahore Qalandars,7,11
Haris Rauf,RAFM,Lahore Qalandars,10,11
Fawad Ahmed,RALB,Quetta Gladiators,12,11
Shadab Khan,RALB,Islamabad United,12,11
Shahid Afridi,RALB,Multan Sultans,8,10
Rahat Ali,LAFM,Lahore Qalandars,7,10
Shaheen Shah Afridi,LAMF,Lahore Qalandars,8,10
Sameen Gul,RAMF,Peshawar Zalmi,7,10
Mohammad Ilyas,RAMF,Multan Sultans,8,9
Junaid Khan,LAFM,Multan Sultans,7,8
Musa Khan,RAMF,Islamabad United,7,8
Rumman Raees,LAMF,Islamabad United,8,8
Tymal Mills,LAFM,Peshawar Zalmi,5,7
Dwayne Bravo,RAMF,Quetta Gladiators,6,7
Umaid Asif,RAMF,Peshawar Zalmi,8,7
Ghulam Mudassar,LAFM,Quetta Gladiators,5,6
Aamer Yamin,RAMF,Karachi Kings,8,6
Mohammad Abbas,RAMF,Multan Sultans,3,5
Daniel Christian,RAFM,Multan Sultans,8,5
David Wiese,RAFM,Lahore Qalandars,7,5
Mohammad Irfan Snr,LAFM,Multan Sultans,9,5
Kieron Pollard,RAMF,Peshawar Zalmi,13,5
Mohammad Sami,RAMF,Islamabad United,9,5
Imad Wasim,LAO,Karachi Kings,11,5
Cameron Delport,RAMF,Islamabad United,12,4
Amad Butt,RAFM,Islamabad United,2,4
Ibtisam Sheikh,RALB,Peshawar Zalmi,4,4
Chris Green,RAOB,Multan Sultans,5,4
Samit Patel,SLAO,Islamabad United,8,4
Sikandar Raza,RAOB,,3,3
Zafar Gohar,LAO,Islamabad United,2,3
Chris Jordan,RAFM,Peshawar Zalmi,2,3
Muhammad Irfan Jnr,RAMF,Quetta Gladiators,3,3
Yasir Shah,RALB,Lahore Qalandars,5,3
Liam Dawson,SLAO,Peshawar Zalmi,11,3
Iftikhar Ahmed,RAOB,,6,2
Ali Shafique,RAMF,Multan Sultans,2,2
Colin Munro,RAMF,,8,2
Waqas Maqsood,LAMF,Islamabad United,2,2
Nauman Ali,SLAO,Multan Sultans,4,2
Sohail Khan,RAMF,Karachi Kings,5,2
Rilee Rossouw,RAOB,,12,1
Ahsan Ali,,,8,1
Ryan ten Doeschate,RAMF,Lahore Qalandars,1,1
Shane Watson,RAMF,,12,1
Harry Gurney,LAMF,Quetta Gladiators,1,1
Carlos Brathwaite,RAMF,Lahore Qalandars,1,1
Hardus Viljoen,RAFM,Lahore Qalandars,2,1
Anwar Ali,RAMF,Quetta Gladiators,3,1
Andre Russell,RAFM,Multan Sultans,4,1
Nabi Gul,,Peshawar Zalmi,2,0
Fakhar Zaman,LAO,,10,0
Hassan Khan,LAO,Lahore Qalandars,2,0
Wayne Parnell,LAFM,,3,0
Ravi Bopara,RAMF,Karachi Kings,2,0
Mohammad Hafeez,RAOB,Lahore Qalandars,2,0
Aaron Summers,RAF,Karachi Kings,2,0
Salman Ali Agha,RAOB,Lahore Qalandars,3,0
Awais Zia,RAOB,,2,0
Sohail Akhtar,RAMF,Lahore Qalandars,10,0
Danish Aziz,LAO,Quetta Gladiators,1,0
Asela Gunaratne,RAMF,Lahore Qalandars,1,0
Dwayne Smith,RAMF,,5,0
Hussain Talat,RAMF,Islamabad United,10,0
Shoaib Malik,RAOB,Multan Sultans,10,0
Mohammad Irfan Khan,RALB,Multan Sultans,2,0
Aizaz Cheema,RAMF,Lahore Qalandars,1,0
Sohaib Maqsood,RAOB,,5,0
Umar Siddiq,,,7,
Kamran Akmal,,,13,
Colin Ingram,RALB,,11,
Sarfaraz Ahmed,,,12,
Alex Hales,RAMF,,2,
Gohar Ali,,,3,
Chadwick Walton,,,4,
Azam Khan,,,1,
Shan Masood,RAMF,,4,
Nasir Nawaz,RAFM,,1,
Darren Sammy,RAMF,,13,
Asif Ali,RAOB,,12,
Umar Akmal,RAOB,,12,
Andre Fletcher,RAMF,,4,
Laurie Evans,RAMF,,5,
Ian Bell,RAMF,,1,
Dawid Malan,,,2,
Haris Sohail,LAO,,5,
Misbah ul Haq,,,3,
Rizwan Hussain,,,4,
AB de Villiers,RAMF,,7,
Umair Masood,,,1,
Ahmed Shehzad,RALB,,8,
Corey Anderson,LAMF,,3,
Sahibzada Farhan,,,3,
Luke Ronchi,,,12,
Brendan Taylor,RAOB,,4,
Phil Salt,RAOB,,6,
Hammad Azam,RAMF,,5,
Umar Amin,RAMF,,11,
Imam-ul-Haq,RALB,,12,
Mohammad Rizwan,,,5,
Anton Devcich,SLAO,,5,
Wayne Madsen,RAOB,,2,
James Vince,RAMF,,8,
Salman Butt,RAOB,,2,
Johnson Charles,,,7,
Ben Dunk,RAOB,,7,
Tom Moores,,,3,
Babar Azam,RAOB,,11,
Syed Saad Ali,RAMF,,1,
Shakeel Ansar,,,1,
Liam Livingstone,RALB,,11,
Riki Wessels,,,2,
