Name,Skill,Team,Mats,Wkts
Shaheen Shah Afridi,LAMF,Lahore Qalandars,13,20
Shadab Khan,RALB,Islamabad United,9,19
Zaman Khan,RAMF,Lahore Qalandars,13,18
Shahnawaz Dahani,RAMF,Multan Sultans,11,17
Khushdil Shah,SLAO,Multan Sultans,12,16
Imran Tahir,RALB,Multan Sultans,12,16
Haris Rauf,RAFM,Lahore Qalandars,13,16
Salman Irshad,RAFM,Peshawar Zalmi,8,15
Naseem Shah,RAFM,Quetta Gladiators,10,14
David Willey,LAFM,Multan Sultans,8,13
Rashid Khan,RALB,Lahore Qalandars,9,13
Waqas Maqsood,LAMF,Islamabad United,8,12
Liam Dawson,SLAO,Islamabad United,7,9
Chris Jordan,RAFM,Karachi Kings,5,9
David Wiese,RAFM,Lahore Qalandars,13,9
Faheem Ashraf,RAMF,Islamabad United,10,9
Wahab Riaz,LAFM,Peshawar Zalmi,10,9
Hasan Ali,RAMF,Islamabad United,9,9
Mir Hamza,LAMF,Karachi Kings,4,8
Asif Afridi,LAO,Multan Sultans,5,8
Usman Qadir,RALB,Peshawar Zalmi,7,8
Umaid Asif,RAMF,Karachi Kings,8,8
Mohammad Wasim Jnr,RAMF,Islamabad United,8,8
Mohammad Hafeez,RAOB,Lahore Qalandars,13,6
Mohammad Nawaz,LAO,Quetta Gladiators,5,6
James Faulkner,LAMF,Quetta Gladiators,6,6
Imad Wasim,LAO,Karachi Kings,9,6
Khurram Shahzad,RAMF,Quetta Gladiators,2,5
Blessing Muzarabani,RAFM,Multan Sultans,4,5
Muhammad Umar,RAFM,Peshawar Zalmi,6,5
Ghulam Mudassar,LAFM,Quetta Gladiators,5,5
Mohammad Nabi,RAOB,Karachi Kings,9,5
Hussain Talat,RAMF,Peshawar Zalmi,9,4
Shoaib Malik,RAOB,Peshawar Zalmi,11,3
Mohammad Hasnain,RAFM,Quetta Gladiators,3,3
Shahid Afridi,RALB,Quetta Gladiators,3,3
Mohammad Abbas Afridi,RAMF,Multan Sultans,5,3
Rumman Raees,LAMF,Multan Sultans,6,3
Fawad Ahmed,RALB,Lahore Qalandars,1,2
Asif Ali,RAOB,,12,2
Arshad Iqbal,RAMF,Peshawar Zalmi,1,2
Sameen Gul,RAMF,Peshawar Zalmi,1,2
Khalid Usman,SLAO,Peshawar Zalmi,2,2
Mohammad Irfan Snr,LAFM,Quetta Gladiators,2,2
Zahir Khan,SLACM,Islamabad United,2,2
Anwar Ali,RAMF,Multan Sultans,4,2
Saqib Mahmood,RAF,Peshawar Zalmi,2,2
Usman Khan Shinwari,LAFM,Karachi Kings,3,2
Iftikhar Ahmed,RAOB,,10,2
Liam Livingstone,RALB,Peshawar Zalmi,4,2
Noor Ahmad,SLACM,Quetta Gladiators,4,2
Marchant de Lange,RAF,Islamabad United,5,2
Sohail Tanvir,LAMF,Quetta Gladiators,7,2
Syed Zeeshan Zameer,RAMF,Islamabad United,2,1
Qasim Akram,RAOB,,5,1
Jordan Thompson,RAMF,Karachi Kings,2,1
Ihsanullah,RAMF,Multan Sultans,2,1
Benny Howell,RAMF,Peshawar Zalmi,1,1
Tim David,RAOB,,11,1
Luke Wood,,Quetta Gladiators,1,1
Amad Butt,RAFM,Peshawar Zalmi,2,1
Zahid Mehmood,RALB,Islamabad United,2,1
Mubasir Khan,RAOB,,7,1
Ashir Qureshi,RALB,Quetta Gladiators,4,1
Ben Cutting,RAFM,,9,1
Mohammad Ilyas,RAMF,Karachi Kings,3,1
Kamran Ghulam,LAO,,13,1
Mohammad Imran,LAMF,Karachi Kings,3,1
Samit Patel,SLAO,Lahore Qalandars,5,1
Aamer Yamin,RAMF,Karachi Kings,5,1
Lewis Gregory,RAMF,Karachi Kings,7,1
James Vince,RAMF,,6,0
Danish Aziz,LAO,Islamabad United,3,0
Sohail Khan,RAMF,Peshawar Zalmi,2,0
Aamer Azmat,RAMF,Multan Sultans,5,0
Musa Khan,RAMF,,2,0
Imran Khan Snr,RAMF,Multan Sultans,3,0
Ali Majid,RALB,Peshawar Zalmi,1,0
Athar Mehmood,RAMF,Islamabad United,3,0
Hassan Khan,LAO,Quetta Gladiators,2,0
Mohammad Taha,SLAO,,5,0
Arish Ali Khan,LAO,Peshawar Zalmi,1,0
Zafar Gohar,LAO,Islamabad United,1,0
Pat Brown,RAFM,Peshawar Zalmi,2,0
Dean Foxcroft,,,1,
Mohammad Rizwan,,,12,
Ian Cockbain,RAMF,,3,
Tom Kohler-Cadmore,RAOB,,2,
Joe Clarke,,,8,
Mohammad Haris,,,5,
Jason Roy,,,6,
Ben Duckett,RAOB,,4,
Yasir Khan,,,4,
Abdullah Shafique,RALB,,11,
Sohaib Maqsood,RAOB,,7,
Johnson Charles,,,2,
Muhammad Akhlaq,RAOB,,2,
Mohammad Huraira,,,1,
Sarfaraz Ahmed,,,10,
Fakhar Zaman,LAO,,13,
Abdul Wahid Bangalzai,,,1,
Sherfane Rutherford,RAFM,,9,
Tom Lammonby,LAMF,,3,
Nasir Nawaz,RAFM,,1,
Umar Akmal,RAOB,,5,
Rilee Rossouw,RAOB,,11,
Azam Khan,,,12,
Will Jacks,RAMF,,2,
Sharjeel Khan,LAO,,10,
Kamran Akmal,,,6,
Harry Brook,RAMF,,10,
Zeeshan Ashraf,RAOB,,2,
Paul Stirling,RAOB,,6,
Phil Salt,RAOB,,9,
Alex Hales,RAMF,,9,
Hazratullah Zazai,LAO,,7,
Babar Azam,RAOB,,10,
Rahmanullah Gurbaz,,,6,
Sahibzada Farhan,,,5,
Haider Ali,,,9,
Ben Dunk,RAOB,,2,
Colin Munro,RAMF,,3,
Sohail Akhtar,RAMF,,2,
Rohail Nazir,,,3,
Ahsan Ali,,,8,
Will Smeed,RAOB,,6,
Shan Masood,RAMF,,12,
