Name,Skill,Team,Mats,Runs
Kamran Akmal,RHB,Peshawar Zalmi,11,353
Babar Azam,RHB,Karachi Kings,10,291
Dwayne Smith,RHB,Islamabad United,9,274
Rilee Rossouw,LHB,Quetta Gladiators,9,255
Ahmed Shehzad,RHOB,Quetta Gladiators,10,242
Kevin Pietersen,RHB,Quetta Gladiators,9,241
Kumar Sangakkara,LHB,Karachi Kings,10,215
Shoaib Malik,RHB,Karachi Kings,10,202
Kieron Pollard,RHB,Karachi Kings,10,201
Sarfaraz Ahmed,RHB,Quetta Gladiators,10,183
Fakhar Zaman,LHB,Lahore Qalandars,8,177
Shahid Afridi,RHB,Peshawar Zalmi,10,177
Dawid Malan,LHB,Peshawar Zalmi,6,175
Jason Roy,RHB,Lahore Qalandars,5,173
Shane Watson,RHB,Islamabad United,9,171
Umar Akmal,RHB,Lahore Qalandars,8,164
Chris Gayle,LHB,Karachi Kings,9,160
Misbah ul Haq,RHB,Islamabad United,9,158
Mohammad Hafeez,RHB,Peshawar Zalmi,10,153
Asad Shafiq,RHB,Quetta Gladiators,7,147
Brad Haddin,RHB,Islamabad United,9,139
Eoin Morgan,LHB,Peshawar Zalmi,6,136
Sam Billings,RHB,Islamabad United,5,133
Mohammad Rizwan,RHB,,8,130
Darren Sammy,RHB,Peshawar Zalmi,11,120
Ravi Bopara,RHB,Karachi Kings,10,119
Sunil Narine,LHB,Lahore Qalandars,8,116
Tamim Iqbal,LHB,Peshawar Zalmi,5,94
Brendon McCullum,RHB,Lahore Qalandars,8,93
Imad Wasim,LHB,Karachi Kings,10,83
Cameron Delport,LHB,Lahore Qalandars,4,82
Marlon Samuels,RHB,Peshawar Zalmi,5,81
Grant Elliott,RHB,Lahore Qalandars,7,74
Sohail Tanvir,LHB,Lahore Qalandars,8,68
Hussain Talat,LHB,Islamabad United,2,67
Shadab Khan,RHB,Islamabad United,8,66
Anwar Ali,RHB,Quetta Gladiators,9,57
Shakib Al Hasan,LHB,Peshawar Zalmi,5,54
Asif Ali,RHB,Islamabad United,4,46
Rafatullah Mohmand,RHB,Islamabad United,3,46
Thisara Perera,LHB,Quetta Gladiators,6,40
Mahmudullah,RHB,Quetta Gladiators,6,37
Sohaib Maqsood,RHB,Peshawar Zalmi,6,35
Wahab Riaz,RHB,,10,31
Haris Sohail,LHB,Peshawar Zalmi,3,31
Ben Duckett,LHB,Islamabad United,2,30
Chris Jordan,RHB,,6,26
Hassan Khan,LHB,,10,26
Amad Butt,RHB,Islamabad United,4,25
Aamer Yamin,RHB,Lahore Qalandars,3,25
Mohammad Aamer,LHB,,10,24
Sean Ervine,LHB,Quetta Gladiators,1,24
Yasir Shah,RHB,Lahore Qalandars,8,23
Hasan Ali,RHB,,11,23
Mohammad Nawaz,LHB,Quetta Gladiators,10,20
Shahzaib Hasan,RHB,Karachi Kings,2,19
Saad Nasim,RHB,Quetta Gladiators,3,18
Sohail Khan,RHB,,9,16
Iftikhar Ahmed,RHB,Peshawar Zalmi,3,15
Luke Wright,RHB,Quetta Gladiators,1,12
Mahela Jayawardene,RHB,Karachi Kings,1,10
Rayad Emrit,RHB,Quetta Gladiators,1,6
Usama Mir,RHB,,8,5
Muhammad Irfan Jnr,RHB,Lahore Qalandars,7,4
Anamul Haque,RHB,Quetta Gladiators,1,3
Bilawal Bhatti,RHB,,5,2
Umar Gul,RHB,Quetta Gladiators,2,2
Mohammad Sami,RHB,Islamabad United,9,2
Imran Khalid,LHB,,3,1
Junaid Khan,RHB,Peshawar Zalmi,3,1
Khushdil Shah,LHB,,2,1
Nicholas Pooran,LHB,Islamabad United,1,1
Zulfiqar Babar,RHB,Quetta Gladiators,8,1
Tymal Mills,RHB,Quetta Gladiators,5,1
Sharjeel Khan,LHB,Islamabad United,1,1
Ghulam Mudassar,RHB,Lahore Qalandars,1,1
Morne van Wyk,RHB,Quetta Gladiators,1,1
Imran Khan Jnr,RHB,Peshawar Zalmi,1,0
Rumman Raees,RHB,Islamabad United,7,0
Usman Khan Shinwari,RHB,,8,0
Mohammad Irfan Snr,RHB,,8,0
Saeed Ajmal,RHB,,4,
Zohaib Khan,RHB,,1,
Kashif Bhatti,RHB,,1,
Samuel Badree,RHB,,1,
Mir Hamza,LHB,,1,
Mohammad Asghar,RHB,,7,
Abrar Ahmed,RHB,,2,
