Name,Skill,Team,Mats,Runs
Luke Ronchi,RHB,Islamabad United,11,435
Kamran Akmal,RHB,Peshawar Zalmi,13,425
Babar Azam,RHB,,12,402
Joe Denly,RHB,,12,323
Shane Watson,RHB,Quetta Gladiators,10,319
Mohammad Hafeez,RHB,Peshawar Zalmi,13,297
Fakhar Zaman,LHB,Lahore Qalandars,10,277
Kumar Sangakkara,LHB,Multan Sultans,10,269
Dwayne Smith,RHB,,10,252
Jean-Paul Duminy,LHB,Islamabad United,10,251
Colin Ingram,LHB,Karachi Kings,12,242
Shoaib Malik,RHB,Multan Sultans,10,224
Sarfaraz Ahmed,RHB,Quetta Gladiators,11,223
Brendon McCullum,RHB,Lahore Qalandars,10,218
Asif Ali,RHB,,12,213
Sohaib Maqsood,RHB,Multan Sultans,10,204
Hussain Talat,LHB,Islamabad United,12,201
Rilee Rossouw,LHB,Quetta Gladiators,10,200
Anton Devcich,LHB,Lahore Qalandars,5,196
Ahmed Shehzad,RHOB,Multan Sultans,10,173
Salman Ali Agha,RHB,Lahore Qalandars,8,166
Kieron Pollard,RHB,Multan Sultans,10,165
Tamim Iqbal,LHB,Peshawar Zalmi,6,161
Darren Sammy,RHB,Peshawar Zalmi,11,159
Kevin Pietersen,RHB,Quetta Gladiators,9,155
Liam Dawson,RHB,Peshawar Zalmi,9,145
Mohammad Nawaz,LHB,,11,127
Ravi Bopara,RHB,Karachi Kings,10,124
Sohail Akhtar,RHB,Lahore Qalandars,9,122
Khurram Manzoor,RHB,Karachi Kings,7,121
Asad Shafiq,RHB,Quetta Gladiators,8,116
Faheem Ashraf,LHB,Islamabad United,12,111
Gulraiz Sadaf,RHB,Lahore Qalandars,5,110
Sunil Narine,LHB,Lahore Qalandars,9,98
Wahab Riaz,RHB,,13,97
Umar Amin,LHB,Quetta Gladiators,6,97
Sahibzada Farhan,RHB,Islamabad United,6,91
Mohammad Rizwan,RHB,,12,88
Alex Hales,RHB,Islamabad United,4,87
Andre Fletcher,RHB,Peshawar Zalmi,5,86
Sohail Tanvir,LHB,,10,75
Imad Wasim,LHB,Karachi Kings,8,69
Riki Wessels,RHB,Peshawar Zalmi,4,68
Chadwick Walton,RHB,Islamabad United,5,68
Anwar Ali,RHB,,11,66
Saad Nasim,RHB,Peshawar Zalmi,5,65
Shadab Khan,RHB,,12,65
Lendl Simmons,,Karachi Kings,2,59
Umar Akmal,RHB,Lahore Qalandars,5,57
Misbah ul Haq,RHB,Islamabad United,8,57
Samit Patel,RHB,,9,56
Jason Roy,RHB,Quetta Gladiators,2,53
Shahid Afridi,RHB,Karachi Kings,9,47
Hassan Khan,LHB,,11,42
Rameez Raja jr,RHB,Quetta Gladiators,5,40
Umaid Asif,RHB,,12,39
Chris Jordan,RHB,Peshawar Zalmi,5,38
Mahmudullah,RHB,,3,34
Hasan Ali,RHB,,9,28
Eoin Morgan,LHB,Karachi Kings,3,28
Ross Whiteley,LHB,Multan Sultans,3,27
Andre Russell,RHB,Islamabad United,4,26
Denesh Ramdin,RHB,Lahore Qalandars,4,24
Saif Badar,RHB,,10,21
Haris Sohail,LHB,Peshawar Zalmi,3,19
Cameron Delport,LHB,Lahore Qalandars,2,18
Muhammad Irfan Jnr,RHB,Karachi Kings,11,17
Darren Bravo,LHB,,5,15
Sohail Khan,RHB,,7,14
Imran Tahir,RHB,Multan Sultans,10,13
Amad Butt,RHB,,5,13
Khushdil Shah,LHB,Peshawar Zalmi,2,12
Thisara Perera,LHB,Quetta Gladiators,1,12
Rumman Raees,RHB,,3,11
Yasir Shah,RHB,Lahore Qalandars,10,11
Sabbir Rahman,RHB,,2,11
Umar Gul,RHB,Multan Sultans,2,10
Usama Mir,RHB,Karachi Kings,2,9
Iftikhar Ahmed,RHB,Islamabad United,1,9
Salman Irshad,RHB,Lahore Qalandars,3,8
Mohammad Irfan Snr,RHB,Multan Sultans,10,8
Khalid Usman,RHB,Peshawar Zalmi,2,7
Mohammad Sami,RHB,,11,6
Mohammad Aamer,LHB,,11,6
Tom Kohler-Cadmore,RHB,Quetta Gladiators,1,5
John Hastings,RHB,Quetta Gladiators,3,5
Jofra Archer,RHB,Quetta Gladiators,2,5
David Wiese,RHB,Karachi Kings,1,5
Tymal Mills,RHB,,8,5
Mitchell McClenaghan,LHB,,4,4
Raza Hasan,RHB,Lahore Qalandars,2,4
Ben Laughlin,RHB,,3,3
Junaid Khan,RHB,Multan Sultans,8,3
Hammad Azam,RHB,Peshawar Zalmi,2,3
Zafar Gohar,LHB,,2,3
Sameen Gul,RHB,Peshawar Zalmi,8,3
Aamer Yamin,RHB,Lahore Qalandars,2,2
Hardus Viljoen,RHB,,2,2
Ibtisam Sheikh,LHB,Peshawar Zalmi,4,2
Mustafizur Rahman,LHB,Lahore Qalandars,5,1
Shaheen Shah Afridi,LHB,Lahore Qalandars,7,1
Mukhtar Ahmed,RHB,Karachi Kings,1,1
Mir Hamza,LHB,,3,0
Mohammad Asghar,RHB,,5,0
Rahat Ali,RHB,,11,0
Steven Finn,RHB,,5,0
Danish Aziz,LHB,,1,
Kyle Abbott,RHB,,1,
Bilal Asif,RHB,,1,
Imran Khan Jnr,RHB,,1,
Usman Khan Shinwari,RHB,,10,
