Name,Skill,Team,Mats,Runs
Umar Akmal,RHB,Lahore Qalandars,7,335
Ravi Bopara,RHB,Karachi Kings,9,329
Sharjeel Khan,LHB,Islamabad United,11,300
Ahmed Shehzad,RHOB,Quetta Gladiators,10,290
Tamim Iqbal,LHB,Peshawar Zalmi,6,267
Cameron Delport,LHB,Lahore Qalandars,8,227
Mohammad Hafeez,RHB,Peshawar Zalmi,10,220
Kevin Pietersen,RHB,Quetta Gladiators,9,215
Khalid Latif,RHB,Islamabad United,9,206
Shane Watson,RHB,Islamabad United,6,194
Brad Haddin,RHB,Islamabad United,8,188
Azhar Ali,RHB,Lahore Qalandars,7,183
Luke Wright,RHB,Quetta Gladiators,6,169
Sarfaraz Ahmed,RHB,Quetta Gladiators,10,168
Misbah ul Haq,RHB,Islamabad United,9,166
Dawid Malan,LHB,Peshawar Zalmi,8,163
Shoaib Malik,RHB,Karachi Kings,9,157
Dwayne Smith,RHB,Islamabad United,4,153
Lendl Simmons,,Karachi Kings,6,151
Kamran Akmal,RHB,Peshawar Zalmi,10,151
Darren Sammy,RHB,,10,140
Kumar Sangakkara,LHB,Quetta Gladiators,4,129
Shakib Al Hasan,LHB,Karachi Kings,8,126
Mohammad Nawaz,LHB,Quetta Gladiators,10,120
Dwayne Bravo,RHB,Lahore Qalandars,8,111
James Vince,RHB,Karachi Kings,7,111
Chris Gayle,LHB,Lahore Qalandars,5,103
Mohammad Rizwan,RHB,,8,103
Shahid Yousuf,RHB,Peshawar Zalmi,9,99
Brad Hodge,RHB,Peshawar Zalmi,4,93
Shahid Afridi,RHB,Peshawar Zalmi,10,87
Andre Russell,RHB,Islamabad United,10,84
Sohaib Maqsood,RHB,Lahore Qalandars,2,79
Grant Elliott,RHB,,6,65
Wahab Riaz,RHB,Peshawar Zalmi,9,56
Nauman Anwar,RHB,Karachi Kings,5,55
Bismillah Khan,RHB,Quetta Gladiators,3,55
Mushfiqur Rahim,RHB,Karachi Kings,3,49
Imad Wasim,LHB,Karachi Kings,8,48
Mohammad Nabi,RHB,Quetta Gladiators,8,47
Shahzaib Hasan,RHB,Karachi Kings,2,45
James Allenby,RHB,Peshawar Zalmi,2,38
Anwar Ali,RHB,Quetta Gladiators,9,38
Imran Khalid,LHB,,9,38
Sam Billings,RHB,Islamabad United,5,34
Asif Ali,RHB,Islamabad United,6,34
Sohail Tanvir,LHB,,6,33
Naved Yasin,LHB,Lahore Qalandars,5,27
Iftikhar Ahmed,RHB,Karachi Kings,4,27
Mohammad Sami,RHB,,7,23
Zulfiqar Babar,RHB,Quetta Gladiators,10,22
Sohail Khan,RHB,Karachi Kings,5,21
Saeed Ajmal,RHB,,6,20
Hammad Azam,RHB,Lahore Qalandars,3,18
Zohaib Khan,RHB,,7,18
Asad Shafiq,RHB,Quetta Gladiators,1,16
Ryan ten Doeschate,RHB,Karachi Kings,1,16
Bilawal Bhatti,RHB,Karachi Kings,1,15
Babar Azam,RHB,Islamabad United,2,15
Jonny Bairstow,RHB,Peshawar Zalmi,1,15
Akbar-ur-Rehman,RHB,,7,15
Azhar Mahmood,RHB,Islamabad United,2,14
Usama Mir,RHB,Karachi Kings,7,13
Elton Chigumbura,RHB,Quetta Gladiators,5,10
Mohammad Aamer,LHB,,7,10
Kevon Cooper,RHB,,7,10
Kamran Ghulam,RHB,Islamabad United,2,9
Ashar Zaidi,LHB,Islamabad United,3,8
Hasan Ali,RHB,,3,6
Rumman Raees,RHB,,8,6
Umar Amin,LHB,Islamabad United,2,4
Riki Wessels,RHB,Karachi Kings,2,4
Samuel Badree,RHB,Islamabad United,6,2
Junaid Khan,RHB,Peshawar Zalmi,6,2
Mohammad Asghar,RHB,,9,1
Zafar Gohar,LHB,Lahore Qalandars,6,1
Nathan McCullum,RHB,Quetta Gladiators,2,1
Umar Gul,RHB,,6,0
Mir Hamza,LHB,,4,0
Shaun Tait,RHB,Peshawar Zalmi,9,0
Mohammad Irfan Snr,RHB,Islamabad United,6,0
Aizaz Cheema,RHB,,4,0
Saifullah Bangash,RHB,,5,0
Abdur Rehman,LHB,,1,
Adnan Rasool,RHB,,3,
Aamer Yamin,RHB,,2,
Ajantha Mendis,RHB,,4,
Ehsan Adil,RHB,,5,
Zia-ul-Haq,RHB,,3,
Imran Khan Jnr,RHB,,1,
