Name,Skill,Team,Mats,Runs
Shane Watson,RHB,Quetta Gladiators,12,430
Kamran Akmal,RHB,Peshawar Zalmi,13,357
Cameron Delport,LHB,Islamabad United,12,355
Colin Ingram,LHB,Karachi Kings,11,344
Imam-ul-Haq,LHB,Peshawar Zalmi,12,341
Babar Azam,RHB,Karachi Kings,11,335
Liam Livingstone,RHB,Karachi Kings,11,321
Luke Ronchi,RHB,Islamabad United,12,319
Ahmed Shehzad,RHOB,Quetta Gladiators,8,311
Rilee Rossouw,LHB,Quetta Gladiators,12,295
Fakhar Zaman,LHB,Lahore Qalandars,10,285
Kieron Pollard,RHB,Peshawar Zalmi,13,284
Asif Ali,RHB,Islamabad United,12,281
Umar Akmal,RHB,,12,277
Shoaib Malik,RHB,Multan Sultans,10,266
Sohail Akhtar,RHB,Lahore Qalandars,10,241
James Vince,RHB,Multan Sultans,8,231
Darren Sammy,RHB,Peshawar Zalmi,13,228
AB de Villiers,RHB,Lahore Qalandars,7,218
Johnson Charles,RHB,Multan Sultans,7,208
Umar Amin,LHB,Peshawar Zalmi,11,189
Ahsan Ali,RHB,Quetta Gladiators,8,178
Umar Siddiq,LHB,Multan Sultans,7,169
Liam Dawson,RHB,Peshawar Zalmi,11,169
Sarfaraz Ahmed,RHB,Quetta Gladiators,12,146
David Wiese,RHB,Lahore Qalandars,7,136
Hussain Talat,LHB,Islamabad United,10,134
Faheem Ashraf,LHB,Islamabad United,12,129
Misbah ul Haq,RHB,Peshawar Zalmi,3,126
Ben Dunk,LHB,Karachi Kings,7,124
Samit Patel,RHB,,8,119
Chadwick Walton,RHB,Islamabad United,4,118
Imad Wasim,LHB,Karachi Kings,11,115
Shan Masood,LHB,Multan Sultans,4,112
Haris Sohail,LHB,Lahore Qalandars,5,103
Daniel Christian,RHB,Multan Sultans,8,97
Colin Munro,LHB,Karachi Kings,8,95
Phil Salt,RHB,Islamabad United,6,94
Laurie Evans,RHB,Multan Sultans,5,83
Anton Devcich,LHB,Lahore Qalandars,5,83
Iftikhar Ahmed,RHB,Karachi Kings,6,82
Mohammad Rizwan,RHB,Karachi Kings,5,79
Andre Fletcher,RHB,Peshawar Zalmi,4,72
Sohaib Maqsood,RHB,Peshawar Zalmi,5,69
Hammad Azam,RHB,Multan Sultans,5,57
Ian Bell,RHB,Islamabad United,1,54
Shahid Afridi,RHB,Multan Sultans,8,52
Andre Russell,RHB,Multan Sultans,4,50
Sahibzada Farhan,RHB,Islamabad United,3,49
Mohammad Nawaz,LHB,,12,49
Wahab Riaz,RHB,Peshawar Zalmi,13,48
Wayne Parnell,LHB,Islamabad United,3,46
Shadab Khan,RHB,,12,44
Alex Hales,RHB,Islamabad United,2,42
Corey Anderson,LHB,Lahore Qalandars,3,41
Dawid Malan,LHB,Peshawar Zalmi,2,39
Aamer Yamin,RHB,Karachi Kings,8,39
Rizwan Hussain,LHB,Islamabad United,4,31
Gohar Ali,RHB,Lahore Qalandars,3,30
Anwar Ali,RHB,Quetta Gladiators,3,30
Chris Green,RHB,Multan Sultans,5,27
Riki Wessels,RHB,Lahore Qalandars,2,24
Dwayne Bravo,RHB,Quetta Gladiators,6,23
Sikandar Raza,RHB,Karachi Kings,3,23
Umair Masood,RHB,Lahore Qalandars,1,22
Awais Zia,LHB,Karachi Kings,2,22
Dwayne Smith,RHB,Quetta Gladiators,5,22
Salman Butt,LHB,Lahore Qalandars,2,22
Mohammad Hafeez,RHB,Lahore Qalandars,2,19
Salman Ali Agha,RHB,Lahore Qalandars,3,18
Brendan Taylor,RHB,Lahore Qalandars,4,17
Hassan Khan,LHB,Lahore Qalandars,2,13
Haris Rauf,RHB,Lahore Qalandars,10,13
Shaheen Shah Afridi,LHB,,8,12
Azam Khan,RHB,Quetta Gladiators,1,12
Asela Gunaratne,RHB,Lahore Qalandars,1,12
Sandeep Lamichhane,RHB,Lahore Qalandars,7,11
Zafar Gohar,LHB,Islamabad United,2,11
Yasir Shah,RHB,,5,10
Mohammad Aamer,LHB,,9,10
Tom Moores,LHB,Multan Sultans,3,10
Musa Khan,RHB,Islamabad United,7,10
Nabi Gul,RHB,,2,9
Hardus Viljoen,RHB,Lahore Qalandars,2,9
Sohail Tanvir,LHB,,12,9
Hasan Ali,RHB,,13,8
Mohammad Sami,RHB,Islamabad United,9,8
Syed Saad Ali,LHB,Lahore Qalandars,1,8
Mohammad Ilyas,RHB,Multan Sultans,8,6
Carlos Brathwaite,RHB,Lahore Qalandars,1,6
Wayne Madsen,RHB,Peshawar Zalmi,2,5
Nauman Ali,LHB,Multan Sultans,4,5
Sohail Khan,RHB,Karachi Kings,5,5
Mohammad Irfan Snr,RHB,,9,4
Ravi Bopara,RHB,Karachi Kings,2,4
Mohammad Irfan Khan,RHB,Multan Sultans,2,4
Nasir Nawaz,RHB,Islamabad United,1,3
Rumman Raees,RHB,,8,2
