Name,Skill,Team,Mats,Runs
Usman Khan Shinwari,RHB,Karachi Kings,9,2
Rahat Ali,RHB,Lahore Qalandars,7,2
Ryan ten Doeschate,RHB,Lahore Qalandars,1,2
Danish Aziz,LHB,Quetta Gladiators,1,1
Mohammad Abbas,RHB,,3,1
Fawad Ahmed,RHB,Quetta Gladiators,12,0
Junaid Khan,RHB,,7,0
Tymal Mills,RHB,,5,0
Umaid Asif,RHB,,8,0
Amad Butt,RHB,Islamabad United,2,0
Umer Khan,LHB,Karachi Kings,11,0
Mohammad Hasnain,RHB,Quetta Gladiators,7,0
Chris Jordan,RHB,Peshawar Zalmi,2,0
Harry Gurney,RHB,Quetta Gladiators,1,0
Ali Shafique,RHB,Multan Sultans,2,0
Shakeel Ansar,RHB,Multan Sultans,1,0
Sameen Gul,RHB,,7,0
Ghulam Mudassar,RHB,,5,
Waqas Maqsood,LHB,,2,
Ibtisam Sheikh,LHB,,4,
Aaron Summers,RHB,,2,
Muhammad Irfan Jnr,RHB,,3,
Aizaz Cheema,RHB,,1,
