Name,Skill,Team,Mats,Runs
Babar Azam,RHB,Karachi Kings,11,554
Mohammad Rizwan,RHB,Multan Sultans,12,500
Sohaib Maqsood,RHB,Multan Sultans,12,428
Shoaib Malik,RHB,Peshawar Zalmi,13,354
Sharjeel Khan,LHB,Karachi Kings,11,338
Sarfaraz Ahmed,RHB,Quetta Gladiators,10,321
Fakhar Zaman,LHB,Lahore Qalandars,10,287
Colin Munro,LHB,Islamabad United,7,285
Kamran Akmal,RHB,Peshawar Zalmi,13,283
Sherfane Rutherford,LHB,Peshawar Zalmi,13,276
Mohammad Hafeez,RHB,Lahore Qalandars,10,271
Usman Khawaja,LHB,Islamabad United,7,246
Asif Ali,RHB,Islamabad United,12,224
Iftikhar Ahmed,RHB,,12,221
Hazratullah Zazai,LHB,Peshawar Zalmi,5,212
Shan Masood,LHB,Multan Sultans,7,209
Tim David,RHB,Lahore Qalandars,6,180
Rilee Rossouw,LHB,Multan Sultans,12,177
James Vince,RHB,Multan Sultans,5,174
Mohammad Nabi,RHB,Karachi Kings,5,174
Azam Khan,RHB,Quetta Gladiators,10,174
Khushdil Shah,LHB,Multan Sultans,11,166
Haider Ali,RHB,Peshawar Zalmi,9,166
Ben Dunk,LHB,Lahore Qalandars,10,163
Hussain Talat,LHB,,11,156
Usman Khan,RHB,Quetta Gladiators,6,150
Sohail Akhtar,RHB,Lahore Qalandars,10,149
Jake Weatherald,LHB,Quetta Gladiators,5,148
Alex Hales,RHB,Islamabad United,4,139
Joe Clarke,RHB,Karachi Kings,5,121
Johnson Charles,RHB,Multan Sultans,5,117
David Miller,LHB,Peshawar Zalmi,3,116
Saim Ayub,LHB,Quetta Gladiators,7,114
Tom Kohler-Cadmore,RHB,Peshawar Zalmi,4,113
Najibullah Zadran,LHB,Karachi Kings,5,111
Mohammad Nawaz,LHB,Quetta Gladiators,9,109
Ravi Bopara,RHB,Peshawar Zalmi,2,108
Chris Gayle,LHB,Quetta Gladiators,2,107
Imam-ul-Haq,LHB,Peshawar Zalmi,6,107
Shadab Khan,RHB,Islamabad United,11,94
James Faulkner,RHB,,6,90
Chadwick Walton,RHB,Karachi Kings,6,89
Rovman Powell,RHB,,8,87
Faheem Ashraf,LHB,Islamabad United,8,77
Faf du Plessis,RHB,Quetta Gladiators,4,76
Hasan Ali,RHB,,10,76
Rashid Khan,RHB,Lahore Qalandars,8,75
Danish Aziz,LHB,Karachi Kings,3,74
Brandon King,RHB,Islamabad United,3,69
Martin Guptill,RHB,Karachi Kings,6,69
Imad Wasim,LHB,Karachi Kings,11,68
Wahab Riaz,RHB,,12,66
Jonathan Wells,RHB,Peshawar Zalmi,2,61
Sohail Tanvir,LHB,Multan Sultans,8,58
Paul Stirling,RHB,Islamabad United,2,57
Amad Butt,RHB,Peshawar Zalmi,4,57
Daniel Christian,RHB,Karachi Kings,5,55
Ben Cutting,RHB,Quetta Gladiators,5,49
Lewis Gregory,RHB,,2,49
Umaid Asif,RHB,Peshawar Zalmi,9,47
Mohammad Wasim Jnr,RHB,,11,45
Muhammad Akhlaq,RHB,Islamabad United,5,44
David Wiese,RHB,,4,44
Rohail Nazir,RHB,,4,43
Haris Rauf,RHB,,9,37
Thisara Perera,LHB,Karachi Kings,3,37
Hassan Khan,LHB,Quetta Gladiators,3,36
Salman Ali Agha,RHB,Lahore Qalandars,4,35
Samit Patel,RHB,Lahore Qalandars,3,34
Chris Lynn,RHB,Multan Sultans,4,34
Joe Denly,RHB,Lahore Qalandars,2,31
Carlos Brathwaite,RHB,Multan Sultans,5,29
Mohammad Abbas Afridi,RHB,Karachi Kings,4,27
Colin Ingram,LHB,Karachi Kings,5,26
Phil Salt,RHB,Islamabad United,3,22
Waqas Maqsood,LHB,Karachi Kings,7,19
Imran Tahir,RHB,,7,18
Qais Ahmad,RHB,Quetta Gladiators,2,18
Khalid Usman,RHB,Peshawar Zalmi,1,17
Shaheen Shah Afridi,LHB,Lahore Qalandars,10,17
Mohammad Faizan,RHB,Lahore Qalandars,2,17
Zeeshan Ashraf,LHB,,3,17
Jack Wildermuth,RHB,Quetta Gladiators,2,17
Sohail Khan,RHB,Multan Sultans,5,16
Umar Amin,LHB,Islamabad United,1,13
Cameron Delport,LHB,Quetta Gladiators,5,13
Andre Russell,RHB,Quetta Gladiators,1,13
Zahir Khan,LHB,Quetta Gladiators,2,12
Khurram Shahzad,RHB,Quetta Gladiators,5,12
Qasim Akram,RHB,Karachi Kings,1,10
Ahmed Daniyal,RHB,,10,10
Hammad Azam,RHB,Multan Sultans,1,9
Tom Banton,RHB,Quetta Gladiators,2,9
Mohammad Ilyas,RHB,Karachi Kings,5,9
Mohammad Aamer,LHB,Karachi Kings,11,8
Shimron Hetmyer,LHB,,2,7
Sameen Gul,RHB,,3,7
Usman Khan Shinwari,RHB,,5,7
Mohammad Hasnain,RHB,Quetta Gladiators,9,5
Zahid Mehmood,RHB,,6,5
Fawad Ahmed,RHB,,5,4
Usman Qadir,LHB,,4,4
Shahid Afridi,RHB,,4,3
Fabian Allen,RHB,Peshawar Zalmi,3,3
Zafar Gohar,LHB,,3,3
Rahmanullah Gurbaz,RHB,Multan Sultans,1,3
Imran Khan Snr,RHB,Multan Sultans,7,3
Mohammad Imran,RHB,,11,1
Naseem Shah,RHB,,3,1
Anwar Ali,RHB,Quetta Gladiators,1,1
Arshad Iqbal,RHB,,9,0
Noor Ahmad,LHB,,4,0
Shahnawaz Dahani,RHB,Multan Sultans,11,0
Mohammad Irfan Snr,RHB,,10,0
Aamer Yamin,RHB,,4,0
Saqib Mahmood,RHB,,5,0
Mujeeb ur Rehman,RHB,,4,0
Musa Khan,RHB,,3,0
Abdul Nasir,RHB,Quetta Gladiators,1,0
Akif Javed,RHB,,5,0
Sohaibullah,LHB,Multan Sultans,1,0
Dale Steyn,RHB,Quetta Gladiators,3,0
Muhammad Umar,RHB,Multan Sultans,2,0
Blessing Muzarabani,RHB,,6,0
Ali Khan,RHB,,3,
Mohammad Salman Mirza,RHB,,3,
Arish Ali Khan,RHB,,1,
Zahoor Khan,RHB,,1,
Waqar Salamkheil,RHB,,1,
Abrar Ahmed,RHB,,2,
