Name,Skill,Team,Mats,Runs
Babar Azam,RHB,Karachi Kings,12,473
Fakhar Zaman,LHB,Lahore Qalandars,12,325
Mohammad Hafeez,RHB,Lahore Qalandars,13,312
Ben Dunk,LHB,Lahore Qalandars,11,300
Chris Lynn,RHB,Lahore Qalandars,8,284
Shan Masood,LHB,Multan Sultans,11,283
Shoaib Malik,RHB,Peshawar Zalmi,9,278
Alex Hales,RHB,Karachi Kings,9,272
Luke Ronchi,RHB,Islamabad United,8,266
Shadab Khan,RHB,Islamabad United,9,263
Sohail Akhtar,RHB,Lahore Qalandars,13,262
Kamran Akmal,RHB,Peshawar Zalmi,9,251
Colin Munro,LHB,Islamabad United,8,248
Shane Watson,RHB,Quetta Gladiators,9,247
Haider Ali,RHB,Peshawar Zalmi,10,239
Jason Roy,RHB,Quetta Gladiators,8,233
Khushdil Shah,LHB,Multan Sultans,11,222
Sharjeel Khan,LHB,Karachi Kings,12,216
Rilee Rossouw,LHB,Multan Sultans,9,212
Colin Ingram,LHB,Islamabad United,9,206
Zeeshan Ashraf,LHB,Multan Sultans,11,202
Samit Patel,RHB,Lahore Qalandars,12,188
Cameron Delport,LHB,Karachi Kings,8,178
Chadwick Walton,RHB,Karachi Kings,12,176
Imad Wasim,LHB,Karachi Kings,11,158
James Vince,RHB,Multan Sultans,5,155
Azam Khan,RHB,Quetta Gladiators,9,150
Sarfaraz Ahmed,RHB,Quetta Gladiators,9,148
Ben Cutting,RHB,Quetta Gladiators,7,146
Moeen Ali,LHB,Multan Sultans,9,138
Dawid Malan,LHB,Islamabad United,4,131
David Wiese,RHB,Lahore Qalandars,11,131
Mohammad Nawaz,LHB,Quetta Gladiators,9,116
Liam Livingstone,RHB,Peshawar Zalmi,8,108
Shahid Afridi,RHB,Multan Sultans,9,99
Iftikhar Ahmed,RHB,Karachi Kings,12,96
Imam-ul-Haq,LHB,Peshawar Zalmi,4,94
Ravi Bopara,RHB,Multan Sultans,6,92
Tamim Iqbal,LHB,Lahore Qalandars,3,83
Asif Ali,RHB,Islamabad United,9,81
Tom Banton,RHB,Peshawar Zalmi,7,74
Lewis Gregory,RHB,Peshawar Zalmi,4,68
Sohail Khan,RHB,Quetta Gladiators,8,65
Khurram Manzoor,RHB,Quetta Gladiators,1,63
Hussain Talat,LHB,Islamabad United,5,61
Ahmed Shehzad,RHOB,Quetta Gladiators,7,61
Adam Lyth,LHB,Multan Sultans,2,59
Rizwan Hussain,LHB,Islamabad United,5,51
Sohail Tanvir,LHB,Multan Sultans,10,51
Faheem Ashraf,LHB,Islamabad United,7,50
Liam Dawson,RHB,Peshawar Zalmi,4,49
Darren Sammy,RHB,Peshawar Zalmi,4,44
Umaid Asif,RHB,,7,42
Rohail Nazir,RHB,Multan Sultans,2,38
Hardus Viljoen,RHB,Peshawar Zalmi,1,37
Carlos Brathwaite,RHB,Peshawar Zalmi,4,34
Faf du Plessis,RHB,Peshawar Zalmi,1,31
Usman Khan Shinwari,RHB,,4,30
Anwar Ali,RHB,Quetta Gladiators,3,30
Umar Amin,LHB,Peshawar Zalmi,1,29
Hasan Ali,RHB,Peshawar Zalmi,9,29
Wahab Riaz,RHB,,10,28
Chris Jordan,RHB,Karachi Kings,9,27
Phil Salt,RHB,Islamabad United,1,25
Dane Vilas,RHB,Lahore Qalandars,5,24
Amad Butt,RHB,Islamabad United,5,22
Salman Butt,LHB,Lahore Qalandars,1,21
Zahid Mehmood,RHB,Quetta Gladiators,1,19
Fawad Ahmed,RHB,Quetta Gladiators,5,17
Musa Khan,RHB,Islamabad United,7,17
Mohammad Ilyas,RHB,,9,17
Ahsan Ali,RHB,,3,16
Sohaib Maqsood,RHB,Peshawar Zalmi,1,16
Shaheen Shah Afridi,LHB,,12,14
Zafar Gohar,LHB,,3,13
Ahmed Safi Abdullah,LHB,Islamabad United,3,9
Seekkuge Prasanna,RHB,Lahore Qalandars,2,8
Muhammad Imran,RHB,Peshawar Zalmi,1,8
Dilbar Hussain,RHB,,11,8
Mohammad Amir Khan,RHB,Peshawar Zalmi,4,7
Adil Amin,RHB,Peshawar Zalmi,1,7
Hammad Azam,RHB,Peshawar Zalmi,1,7
Naseem Shah,RHB,,6,7
Mohammad Faizan,RHB,Lahore Qalandars,7,6
Tymal Mills,RHB,,4,4
Imran Tahir,RHB,,10,4
Mohammad Aamer,LHB,,11,3
Umer Khan,LHB,,6,3
Mohammad Hasnain,RHB,,9,3
Salman Irshad,RHB,Lahore Qalandars,5,3
Saqib Mahmood,RHB,Peshawar Zalmi,1,2
Asad Shafiq,RHB,Multan Sultans,1,1
Abdul Nasir,RHB,Quetta Gladiators,1,1
Bilawal Bhatti,RHB,Multan Sultans,2,1
Sherfane Rutherford,LHB,Karachi Kings,2,1
Yasir Shah,RHB,Peshawar Zalmi,4,1
Usama Mir,RHB,,3,1
Wayne Parnell,LHB,Karachi Kings,1,1
Waqas Maqsood,LHB,,3,1
Rahat Ali,RHB,,10,1
Akif Javed,RHB,,6,0
Mohammad Rizwan,RHB,,2,0
Junaid Khan,RHB,,3,0
Mohammad Mohsin,LHB,Peshawar Zalmi,2,0
Rumman Raees,RHB,,6,0
Haris Rauf,RHB,,8,0
Mohammad Irfan Snr,RHB,,8,0
Mitchell McClenaghan,LHB,,1,
Aamer Yamin,RHB,,3,
Maaz Khan,RHB,,3,
Ali Khan,RHB,,1,
Raja Farzan Khan,LHB,,2,
Arshad Iqbal,RHB,,7,
Ali Shafique,RHB,,2,
Dale Steyn,RHB,,4,
Usman Qadir,LHB,,1,
